title,price,original_price,category,site
"EZVIZ CS-TY1 1080p 360-Degree WiFi Smart Home Security Camera, Intelligent Surveillance Camera with Night Vision, Smart Tracking, Two-way Audio, White, 1 Count (Pack of 1)",950..00,"EGP 1,048.00",Camera,amazon
"Tapo c200 360-degree smart wi-fi pan and tilt camera, 1080 p - white",,,Camera,amazon
"kingston 128GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP, SDCS2/128GB, black",,,Camera,amazon
EZVIZ TY2 Full HD 1080P WiFi IP Surveillance Camera 360 Degrees Rotating Smart Night Vision,"1,099..00",,Camera,amazon
"SanDisk Ultra UHS I 128GB MicroSD Card 140MB/s R, for Smartphones, 10 Y Warranty",679..00,,Camera,amazon
"DDLC K8 Lavalier Wireless Collar mic Noise Cancellation Plug Play Rechargeable Microphone for Andriod/Type-c/iPhone Devices for YouTube, Facebook, Live Stream, Vlog, Recording (Black)",215..00,EGP 229.00,Camera,amazon
"VICHYIE 20 in 1 Multifunctional Cleaner Kit for Electronic Devices, Keyboard Cleaning Brush, Headphones Cleaner Kit for AirPods, Multi-Tool for Cleaning Laptop, Keyboard, Earbuds, Camera, Cellphones",240..00,EGP 250.00,Camera,amazon
Manhattan 421010 LCD Mini Cleaning Kit,100..84,,Camera,amazon
"Tapo TP-Link Outdoor Security Wi-Fi Smart Camera, 4MP, Motion Detection, Starlight Night Vision, SD Card Slot, Voice Control, White, 2K HD Full colour Video, Alarm, No hub required ( C320WS)","2,498..98",,Camera,amazon
Hikvision microSDHC UHS-I 92 MB/s Card with Adapter 64GB,227..00,,Camera,amazon
Hikvision HIKSEMI - Micro Card 64GB,199..00,,Camera,amazon
71 Inch Portable Tripod with Mobile Holder| Umbrella Flash Light Stand| Foldable Photo Video Studio Lighting Photography Stand (Black),335..00,,Camera,amazon
FUJIFILM Instax mini Instant Film (10 Exposures),,,Camera,amazon
Ezviz c6n hd indoor wi-fi pan and tilt security camera - white,955..00,"EGP 1,065.00",Camera,amazon
Fujifilm 2 Packs Instax Film For Instax Mini 8/7S - 10 Per Pack,"1,045..00",,Camera,amazon
Hollyland - Lark M2 Combo Wireless Lavalier Microphone,"8,877..00","EGP 9,800.00",Camera,amazon
Joyroom SY-20H1 HDMI to HDMI cable (4K@60Hz) -2m-gray|12 Months Warranty,169..00,EGP 259.33,Camera,amazon
FUJIFILM Instax mini Instant Film (20 Exposures),"1,045..00",,Camera,amazon
Fujifilm instax mini 12 Instant Film Camera - Blossom Pink,"3,999..00",,Camera,amazon
"Pivo 63""/160cm Extendable Cell Phone & Camera Tripod with Sturdy, Lightweight, Portable, Foldable Stand for Video Recording with Universal 1/4"""" Thread for DSLR, Smartphone, Action Camera & Pivo Pods",699..00,,Camera,amazon
HiLook by Hikvision THC-B120-PC 2mp Outdoor HD 20 meter IR night vision EXIR Bullet 4-in-1 Camera IP66– White,350..00,,Camera,amazon
TISOFU 【Ultra Certified 10K 8K HDMI Cable 3FT: HDMI 2.1 Cables 48Gbps High Speed Premium Braided Cord 8K@60Hz 4K@120Hz 4K@144Hz HDCP 2.2&2.3 CL3 ARC eARC for HD/HDR/HDTV,199..00,,Camera,amazon
"BOYA Lavalier Lapel Microphone - No Battery, by-M1 Pro ll Omnidirectional Condenser Mic for iPhone Camera Android PC Windows - for YouTube, Interview, Video Recording 19.6ft",581..00,EGP 665.42,Camera,amazon
"TP-Link Tapo 2K Pan Tilt Security Camera for Baby Monitor, Dog Camera w/Motion Detection, 2-Way Audio Siren, Night Vision, SD Card Storage (Up to 256 GB), Works with Alexa & Google Home (C210)",,,Camera,amazon
"Mini Portable Projector 5G Wifi 6 Bluetooth 5.0 Android 11, Projector 4K 1080P Full HD Support 8000 Lumens, Horizontal Keystone Correction Auto Led Projector, 180°Rotating Projector for Telephone","4,400..00","EGP 4,743.00",Camera,amazon
"Portable Mini projectors LED Micro Projector 1080P Home Party Meeting Theater Projector(2020 Upgraded Version), Wi-Fi",974..00,,Camera,amazon
"Safety Net Mini Camera Wireless WiFi Small Camera 1080P HD Home Security Surveillance Cameras with Night Vision, Tiny Cameras for Indoor/Outdoor Using",,,Camera,amazon
"UGREEN 8K HDMI Cable, Ultra HD High-Speed 48Gbps HDMI 2.1 Cord, Support 8K@60Hz, 4K@120Hz, eARC Dynamic HDR Dolby Vision for MacBook 2021 Pro PS5, PS4, Nintendo Switch, Samsung TV, Roku Braided -3M",489..00,EGP 504.00,Camera,amazon
Shahn Camera Stand Clip Bracket Holder Tripod Monopod Mount Adapter for Mobile Phone (Vertical Mobile Holder),153..00,EGP 170.00,Camera,amazon
"KIDSZONE Instant Print Camera for Kids - 1080P HD, 48MP, 32G Card, Bluetooth, Free App, 4 Rolls Print Paper, Stickers, Fun Filters, Gift for Boys and Girls - Pink Camera for Kids 3-12 years (Pink)","1,399..99",,Camera,amazon
"Mobile Phone Chest Mount Strap Holder, Anti Slide Strap Mount for Phone/GoPro Hero 360 Degree Rotary for Video Recording Camera Harness",268..20,EGP 299.00,Camera,amazon
"EZVIZ H8 Pro Wi-Fi Camera 5MP 4mm,3K Resolution, Pan & Tilt","4,500..00","EGP 5,585.00",Camera,amazon
CAME-TV 3 Pcs Boltzen 30w Fresnel Fanless Focusable LED Daylight Package - B-30-3PACK,"7,193..17",,Camera,amazon
SanDisk Ultra 32GB SDHC Memory Card 100MB/s,170..74,EGP 259.00,Camera,amazon
"ULANZI VL119 Handheld Light Wand, 360° RGB LED Video Lights Stick for Photography, 2600mAh Rechargeable Tube Lights for Video Shooting, 2500-9000K Dimmable Camera Light with LCD","1,305..00",,Camera,amazon
"TP-Link Tapo 2K Outdoor Pan/Tilt Security Wi-Fi Camera, IP65 Weatherproof, Motion Detection, 360° Visual Coverage,Full-Colour Night Vision,Local Storage,Works with Alexa&Google Home(Tapo TC41)",,,Camera,amazon
"TP-Link C310 Tapo Outdoor Smart Security Camera with Night Vision Mode, 3 MP","2,100..00",,Camera,amazon
Ugreen HDMI Cable Right Angle 90 Degree 2M - HD103 - Black,257..74,,Camera,amazon
K9 Dual Wireless Microphone - Omnidirectional Microphone Plug and Play for Interview and Live Streaming YouTube Video Compatible with All Phones - Hypercardioid - Black,280..00,,Camera,amazon
"TP-Link Tapo Pan/Tilt 1080p Resolution, 360°Rotational View Security Camera|Motion Tracking |Motion & Baby Crying Detection| 2-Way Audio | Night Vision | Works with Alexa & Google Home (Tapo C200)",,,Camera,amazon
