name,price,Original Price,category,site
"Anker Soundcore R50i Black True Wireless (TWS) Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App",739..70,N/A,Headphones,amazon
Oraimo Freepods Lite OTW-330 - Black,599..00,EGP 643.00,Headphones,amazon
"Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App, Black, 18 Months Warranty",719..00,EGP 770.00,Headphones,amazon
"Soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, Comfortable Fit, ENC 2-Mic Clear Calls, Custom EQ, IPX5, Bluetooth 5.3, App Control (Black)",717..45,"EGP 1,224.00",Headphones,amazon
"Anker Soundcore R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 45H Playtime, IP54-Sweatguard M waterproof, AI Clear Calls with 4 Mics, 22 Preset EQs via App-Black",N/A,N/A,Headphones,amazon
"Air-pod Pro+ with Wireless Charging Case Active Noise Cancellation Enable Bluetooth Headset (White, True Wireless) Headphones Headset",349..50,EGP 433.00,Headphones,amazon
"Soundcore by Anker P20i Earbuds, 30H Playtime, IPX5 Waterproof, 2 Microphones with AI, 18 Months Warranty, In-Ear Black Headphones Headset Wireless Earbuds 18 Months Warranty- Black",N/A,N/A,Headphones,amazon
"JBL Tune 520BT Wireless On-Ear Headphones, Pure Bass Sound, 57H Battery with Speed Charge, Hands-Free Call Voice Aware, Multi-Point Connection, Lightweight and Foldable - Black | 1 year local warranty","2,070..00",N/A,Headphones,amazon
"Soundcore by Anker R50i NC Wireless Bluetooth Earphones, Powerful and Smart Noise Cancelling, Powerful Bass, 45 Hours Playtime, 2-in-1 Case and Phone Stand, IP54, Bluetooth 5.4, Black","1,150..00",N/A,Headphones,amazon
New M10 TWS Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time,205..00,N/A,Headphones,amazon
"Anker soundcore life u2i bluetooth neckband with 22 h playtime, 10 mm drivers,clear calls , usb-c fast charging, foldable & lightweight build, ipx5 waterproof - black-18 months local warranty",714..00,EGP 740.00,Headphones,amazon
"Oraimo FreePods 3C ENC Calling Noise Cancellation, powerful bass 4 mics, Long Playtime True Wireless Earbuds IPX5-Water Resistant, Via App Black - 1 Year Warranty",999..00,N/A,Headphones,amazon
"Samsung Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-Silver - 1 Year Local Warranty","7,140..00","EGP 11,999.00",Headphones,amazon
"AirPods Pro 2 Plus Bluetooth Headset with Active Noise Cancelling Wireless Charging Case (White, True Wireless) in Ear",372..00,EGP 470.00,Headphones,amazon
"soundcore by Anker P20i Headphones In-Ear, 10 mm Driver, Bluetooth 5.3, Adjustable EQ, 30 Hours Playtime, IPX5 Waterproof, 2 Micros with AI, Can be Used Individually + 18 Local Warranty",839..00,EGP 869.00,Headphones,amazon
"Anker Soundcore Liberty 4 NC, Navy Blue","3,520..00","EGP 4,398.42",Headphones,amazon
"Soundcore by Anker Life P2i True Wireless Earbuds, AI-Enhanced Calls, 10mm Drivers, 2 EQ Modes, 28H Playtime, Bluetooth 5.2, Easy-Pairing, Lightweight and Secure Fit, Black,18 Months Warranty",921..15,"EGP 1,066.50",Headphones,amazon
"Oraimo Shark 4 Bluetooth Neckband Wireless in Ear Earphones Deep Bass,20Hrs Playtime,ASAP Charge,ENC Tech,Low-Latency Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Dual Pairing",675..00,N/A,Headphones,amazon
New AirPods (3rd Generation),374..00,EGP 439.00,Headphones,amazon
"Xiaomi Redmi buds 6 Lite Hybrid ANC Wireless Earbuds, Active Noise Cancellation up to 40 dB, 38 Hours Music Playback, Google Fast Pair Compatible, Fast Charging, Black |6 month manufacturer warranty","1,328..00",N/A,Headphones,amazon
"Apple AirPods 4 ANC Wireless Earbuds, Bluetooth Headphones, Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalized Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip","9,460..00",N/A,Headphones,amazon
"HUAWEI FreeBuds SE 2 Wireless Headphones, Up to 40 Hours Battery Life, Lightweight and Comfortable, Balanced Sound, Waterproof, German Version, Graphite Black","1,519..00","EGP 1,665.00",Headphones,amazon
"HUAWEI FreeBuds SE 2, 40-Hour Battery Life, Compact and Comfortable to Grip, 3 Hours of Music Playback on a 10-Minute Charge, IP54 Dust & Splash Resistance, Ceramic White","1,522..00","EGP 1,799.00",Headphones,amazon
"Headphones AirPods Pro2 Wireless Bluetooth Headset-Semi original buds with Wireless Charging Case, Noise Cancelling, Compatible with iPhone, Android and All Phones, White, in Ear (PRO 2)",449..00,N/A,Headphones,amazon
wireless headphone sodo sd-1004 - Black,399..99,N/A,Headphones,amazon
"P9 Wireless Bluetooth Headset, Pure Stereo Audio Support Memory Card (Black)",259..00,EGP 403.00,Headphones,amazon
Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless Charging White|12 Months Warranty,699..00,"EGP 1,083.33",Headphones,amazon
"Soundcore By Anker R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, IP54-Sweatguard M waterproof, AI Clear Calls with 4 Mics, 22 Preset EQs via App-White - 18 Months Warranty","1,788..00",N/A,Headphones,amazon
"Anker Soundcore P40i , Noise Cancelling Wireless Earbuds, Adaptive Noise Cancelling to Environments, Heavy Bass, 60H Playtime, 2-in-1 Case and Phone Stand, IPX5, Wireless Charging, Bluetooth 5.3 Blue","2,777..00","EGP 3,878.88",Headphones,amazon
"OPPO Enco Buds2 - Wireless Headphones, Fast Charging, Sweatproof, Large Capacity Battery, White Headset Wireless Earbuds",795..00,N/A,Headphones,amazon
"Soundcore P40i by Anker, Noise Cancelling Wireless Earbuds, Heavy Bass, 60H Playtime, 2-in-1 Case and Phone Stand, IPX5, Wireless Charging, 18 Months Warranty - White","2,777..00","EGP 3,569.00",Headphones,amazon
"Anker soundcore Liberty 4 NC Wireless Noise Cancelling Earbuds, Adaptive Noise Cancelling to Ears and Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 - White","3,332..00",N/A,Headphones,amazon
"Samsung Galaxy Buds FE, Wireless, with Charging Case, ANC and Sound Customization, Graphite, SM-R400NZAAMEA Headphones Headset Wireless Earbuds-1 Year Local Warranty","2,955..00","EGP 3,990.00",Headphones,amazon
M28 Wireless Earbuds TWS Bluetooth 5.1 Gaming Monster Earphones | Touch Control Headphones Microphone Mirror Screen Mini LED Display - Excellent Sound Ensure Fast & Stable Connection Waterproof | AD,245..00,N/A,Headphones,amazon
"Sony Wh-1000Xm4 Wireless Noise Cancelling Bluetooth Over-Ear Headphones With Speak To Chat Function And Mic For Phone Call, Black, Universal","10,900..00","EGP 21,000.00",Headphones,amazon
HUAWEI FreeBuds 5i Wireless Earbuds - Noise Cancelling Earphones with Long Lasting Battery Life - Bluetooth and Water Resistant in-Ear Headphones with Hi-Res Sound Certified - Nebula Black,"3,179..00","EGP 4,184.71",Headphones,amazon
"Xiaomi Redmi Buds 4 Liter, HD Sound, IPX4 Water-Resistant, Bluetooth 5.2, 18.5Hr Battery, Google Fast Pair | AI Call Noise Reduction | Touch Controls | White|6 month manufacturer warranty",726..00,N/A,Headphones,amazon
"Samsung Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty","4,171..77","EGP 7,999.00",Headphones,amazon
"Soundcore V20i by Anker Open-Ear Headphones, Adjustable Ear Hooks, Ultra-Comfort, Snug Fit, Powerful Sound, Clear Calls, LED Lights, 36H Playtime, Bluetooth 5.4 Earbuds, Black - 18 Months Warranty","1,655..00","EGP 1,888.00",Headphones,amazon
Sony WH-CH720N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset With Mic For Phone-Call-Black,"5,676..05","EGP 6,800.00",Headphones,amazon
"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Clear Calls, White - 18 Months Warranty","5,690..00","EGP 6,999.00",Headphones,amazon
"CMF by Nothing Buds - Wireless headphones with ANC 42 dB, Transparency mode, Ultra Bass 2.0 technology, HD sound from DIRAC and two devices - Dark Gray","2,149..00",N/A,Headphones,amazon
"Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App,Blue, 18 Months Warranty",960..35,N/A,Headphones,amazon
"Logitech H111 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, 3.5 mm Audio Jack, PC/Mac/Laptop/Smartphone/Tablet - Black",549..00,EGP 775.00,Headphones,amazon
"soundcore Anker Life P25i True Wireless Earbuds, AI-Enhanced Calls, 10mm Drivers, 22 Preset EQs, 30 Hours Playtime with Fast Charging,",999..00,"EGP 1,412.00",Headphones,amazon
"Soundcore by Anker A20i True Wireless Earbuds, Bluetooth 5.3, App, Customized Sound, 28H Long Playtime, 2 Mics for AI Clear Calls, Single Earbud Mode, Black, 18 Months Local Warranty",899..00,"EGP 1,246.00",Headphones,amazon
Anker Soundcore Life U2i Black,719..00,EGP 745.00,Headphones,amazon
"HyperX Cloud III – Wired Gaming Headset, PC, PS5, Xbox Series X|S, Angled 53mm Drivers, DTS, Memory Foam, Durable Frame, Ultra-Clear 10mm Mic, USB-C, USB-A, 3.5mm – Black/Red Headphones Headset","5,681..87","EGP 7,279.00",Headphones,amazon
"Motorola Moto Buds: Wireless Headphones, Optimal Quality Sound and High Resolution Audio, Active Dynamic Noise Cancellation, Optimal Integration with the Moto Ecosystem, Coral peach","2,750..00","EGP 3,499.00",Headphones,amazon
"Year P9 Wireless Bluetooth Headset, Pure Stereo Audio Support Memory Card (White)",220..00,N/A,Headphones,amazon
"Headphone Celebrat A27 Bluetooth With Mic Stereo Sound Music Wireless Headset, Bluetooth, FM And AUX with External Microphone and Support SD Card (Black)",599..00,EGP 618.98,Headphones,amazon
Joyroom JR-EP1 wired remote control earphone-White|12 Months Warranty,106..00,N/A,Headphones,amazon
Huawei Stereo Earphones with Remote and Microphone AM115 – White,205..00,EGP 306.00,Headphones,amazon
"USB-C Wired In-Ear Stereo Earphones compatible with Samsung Galaxy Note 10/Note 10 Plus, S10, S9, S10e with Built-in Microphone and Volume Control Type c hands-free (Black -AK)",99..99,EGP 149.99,Headphones,amazon
"SAMSUNG Galaxy Buds2 Pro Headphones (Graphite), Wireless","4,999..00","EGP 5,400.00",Headphones,amazon
"Ozeino GM5 Gaming Headset, 7.1 Surround Sound PS4 Headset with Microphone, For Games, PC Headphones, Heavy Bass, Telescopic, Noise Isolation, Wired, FPS Compatible, LED Light,",444..00,EGP 499.00,Headphones,amazon
"Anker Soundcore R50i Wireless Earbuds 10mm Drivers With Big Bass Sound, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App - White","1,099..00",N/A,Headphones,amazon
"RUNMUS GAMING Gaming Headphone K1B Pro with LED and Microphone Wired Over Ear Headphone for PC, PS5, Xbox, Mobiles, Tablets, Laptops. (Blue)",399..00,N/A,Headphones,amazon
JBL Tune 110 Wired Earphone - Black earphones Airpods earbuds headphones,326..00,EGP 350.00,Headphones,amazon
Apple AirPods (2nd Generation),"5,900..00",N/A,Headphones,amazon
"XFTOPSE QUANXI M10 Wireless Bluetooth 5.1 Headphones, IPX7 Wireless Charging Case Waterproof TWS Stereo Earphones Built-in Microphone.Sport Wireless Headphones,Black",199..00,N/A,Headphones,amazon
"Soundcore by Anker, Space One, Active Noise Cancelling Headphones, 2X Stronger Voice Reduction, 40H ANC Playtime, App Control, LDAC Hi-Res Wireless Audio, Comfortable Fit, Clear Calls, Bluetooth 5.3","4,350..00",N/A,Headphones,amazon
"Wireless Tune 760 Headphone Headset, Bluetooth Earphone stereo, FM V5.3 with External Microphone and Support SD Card,AUX Gaming Headphone with Built-in Microphone for Laptop, Mobile Phone, PC (Black)",499..00,N/A,Headphones,amazon
"Earbuds Air31, Wireless, Wired Earphones Transparent with Deep Bass, Stereo Sound, Bluetooth Headphone with Charging Case, White, Black and Pink (black)",285..00,EGP 295.00,Headphones,amazon
"HUAWEI FreeBuds SE 3 Earbuds, 42-Hour Battery Life, Fine-grained Meets Futuristic, 3-Hour Listening on a 10-minute Charge, Long Press to Pair, Robust Bluetooth 5.4 Connection, IP54, Flowing Light Gold","2,250..00","EGP 2,599.00",Headphones,amazon
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",N/A,N/A,Headphones,amazon
M19 Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time,249..00,N/A,Headphones,amazon
Joyroom JR-T03S 2nd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless Charging White|12 Months Warranty,555..00,EGP 833.33,Headphones,amazon
"Soundcore C30i by Anker, Open-Ear Earbuds, Clip-On Headphones, Lightweight Comfort, Stable Fit, Firm-Shell Design, Attachable Ear Grips, Big Drivers for Clear Audio, 30H Play, IPX4 Water-Resistant","2,025..00","EGP 2,860.00",Headphones,amazon
"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Multipoint Connection","3,554..55","EGP 3,799.00",Headphones,amazon
G-Power GP005 Strong Wired Control Earphones With Microphone And Multi Function Control Button Amazing To Play Music And Make Calls Compatible For Popular Phones 1.2 M - Black,49..00,EGP 67.00,Headphones,amazon
"HUAWEI FreeBuds 6i, Intelligent Dynamic ANC 3.0, Punchy Bass, Fast Charging, Longer Listening, Distraction-Free Calling, IP54 Sweat- and Water-resistance, Dual-Device Connection, White","3,545..00","EGP 3,638.00",Headphones,amazon
"Logitech Stereo Headset with Noise Cancelling Microphone And Wired USB Plug For Computer PC, Mac, Laptop - Black","1,706..00","EGP 1,900.00",Headphones,amazon
"CMF by Nothing Buds Pro 2, Premium Noise-Canceling Wireless Earbuds, Deep Bass, IP55 Water Resistance, Dark Grey",N/A,N/A,Headphones,amazon
"SD-1102 Wireless Headset, Bluetooth V5.3 with External Microphone and Support SD Card (Blaack)",369..00,EGP 399.00,Headphones,amazon
"soundcore Anker K20i (Bluetooth 5.3) (Fully Wireless Earphones, In-Ear Earphones, IPX5 Waterproof Standards, Up to 36 Hours Playback Time, Compatible with Dedicated Apps, Meets PSE Technical",760..00,EGP 795.00,Headphones,amazon
