name,price,Original Price,category,site
"HP Victus Gaming Laptop (15-fa1092ne), CPU: Core i5-13420H, 8GB DDR4 1DM 3200 Graphics Card: Nvidia GeForce RTX 2050, VRAM: 4GB, Display: 15.6 FHD IPS 250 nits 144Hz Narrow Border, 1TB, Windows 11","56,000..00",N/A,Laptops,amazon
Asus Vivobook 16X K3605VV-N1116W Intel Core i7-13700H DDR4 16GB RAM 512GB M.2 NVMe PCIe 4.0 SSD Intel UHD Graphics Windows 11 16-Inch WUXGA Laptop,"53,499..00",N/A,Laptops,amazon
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores, 8GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, Ubuntu - Carbon Black","20,302..00",N/A,Laptops,amazon
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores, 8GB RAM, 512GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, FingerPrint, Ubuntu - Carbon Black","20,591..01",N/A,Laptops,amazon
"HP Laptop 15s (15s-fq5042ne), CPU: Core i7-1255U, 16GB DDR4 2DM 3200 Graphics Card: Intel Iris Xe , VRAM: Shared, Display: 15.6 FHD Antiglare ultraslim SVA 250 nits Narrow Border, 512GB, Windows 11","28,888..00","EGP 35,399.00",Laptops,amazon
"Apple Macbook Air 2020 Model, (13-Inch, Apple M1 chip with 8-core CPU and 7-core GPU, 8GB, 256GB, MGN63), Eng-KB, Space Gray","36,090..25","EGP 37,950.00",Laptops,amazon
"HP Pavilion X360 2-in-1 Laptop 14-EK0012NE (6L8J6EA), Intel Core i3 1215Uz, 12th Generation, 8GB DDR4 3200, 256GB SSD, Windows 11 Home Single Language - Silver","33,600..00",N/A,Laptops,amazon
"HP Victus Gaming Laptop 15-fb1004ne, CPU: Ryzen 5-7535HS, 16GB RAM,512GB SSD, Graphics Card: NVIDIA GeForce RTX 2050, VRAM: 4GB, Display: 15.6 FHD Antiglare IPS 250 nits 144Hz, Windows 11","31,399..00","EGP 40,999.00",Laptops,amazon
"Lenovo IdeaPad Gaming 3 15ARH7 - Ryzen 7 7735HS, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics,16GB DDR5-4800 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 250nits 120Hz, Backlit Keyboard-2 Years Warranty","48,699..00",N/A,Laptops,amazon
"ASUS Vivobook S 14 Flip, AMD Ryzen 7 7730U, 8GB DDR4 on board AMD Radeon Graphics, 15.6"" (1920 x 1200) 16:10 IPS 300 Nits, 512GB SSD, Windows 11 (TN3402YA-LZ007W) 1 Year Perfect Warranty by ASUS","26,981..04",N/A,Laptops,amazon
