name,price,Original Price,category,site
"Adjustable laptop stand, portable aluminium laptop riser laptop holder for desk, foldable ventilated cooling computer support stand for apple macbook pro/air, hp, sony, dell, more 10-15.6''",129..00,EGP 135.00,PC,amazon
"Wireless Bluetooth Mouse, Rechargeable LED Dual Mode Mouse (Bluetooth 5.2 and USB Receiver) Portable Silent Mouse,for Laptop/Desktop/Tablet(Black)",133..00,EGP 228.00,PC,amazon
ANKER 322 USB-C to USB-C Cable (6ft/1.8m) USB C Charger Nylon Cable A81F6H11 - Black,190..00,EGP 330.00,PC,amazon
"HP Victus Gaming Laptop (15-fa1092ne), CPU: Core i5-13420H, 8GB DDR4 1DM 3200 Graphics Card: Nvidia GeForce RTX 2050, VRAM: 4GB, Display: 15.6 FHD IPS 250 nits 144Hz Narrow Border, 1TB, Windows 11","56,000..00",N/A,PC,amazon
"ANKER 322 USB-C to USB-A Cable (3ft/0.9m), High Durability Type C Braided Charging Cable A81H5H11 - Black",200..67,N/A,PC,amazon
Joyroom JR-BP560S Capacitive Touchscreen Stylus Passive Capacitive Pen For iPad iPhone All Capacitiv Black |12 Months Warranty,199..00,EGP 325.71,PC,amazon
Asus Vivobook 16X K3605VV-N1116W Intel Core i7-13700H DDR4 16GB RAM 512GB M.2 NVMe PCIe 4.0 SSD Intel UHD Graphics Windows 11 16-Inch WUXGA Laptop,"53,499..00",N/A,PC,amazon
"WD 1TB My Passport Portable External Hard Drive, Black - WDBYVG0010BBK-WESN","2,844..98",N/A,PC,amazon
"Samsung 27-Inch G55C Odyssey QHD 2K Curved Gaming Monitor, HRDR 10, VA Panel, 1ms MPRT, 165hz with Game Mode, Supports AMD FreeSync, HDMI and DisplayPort, 3 Years Local Warranty","7,930..00",N/A,PC,amazon
"kingston 128GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP, SDCS2/128GB, black",N/A,N/A,PC,amazon
"Xiaomi Gaming Monitor G24i, FHD 1920×1080 99% sRGB, Fast IPS 180Hz 1ms, AMD Freesync, 178 Viewing Angle, HDMI 2.0 ×1 DP 1.4×1, Black|1 year manufacturer warranty","5,999..00",N/A,PC,amazon
