name,price,Original Price,category,site
CANON Ink cartridge PG-445 BK/CL-446 COLOR MULTI PACK,"1,495..00",N/A,Printers & Supplies,amazon
Hp 137fnw personal laser multifunction printer,"10,199..00","EGP 14,792.00",Printers & Supplies,amazon
Canon MFP PIXMA G3410,"5,999..00",N/A,Printers & Supplies,amazon
"Hp Laserjet Mfp M141W Printer Wireless Print, Copy, Scan, White (7Md74A)","7,445..00","EGP 7,990.00",Printers & Supplies,amazon
"HP Smart Tank 581 Wireless All In One Printer, Print, Scan, Copy, Print up to 6000 black or 6000 color pages - Grey [4A8D4A]","5,777..00","EGP 7,299.00",Printers & Supplies,amazon
Compatible Laser Toner Cartridge 85A (CE285A) for HP LaserJet PRO: P1102/P1102W/P1100/M1212NF,214..31,N/A,Printers & Supplies,amazon
"HP Laserjet M111W Wireless Printer, White (7Md68A)","6,030..00","EGP 8,023.00",Printers & Supplies,amazon
CANON GI-490 B,469..00,EGP 665.00,Printers & Supplies,amazon
"HP DeskJet Ink Advantage 2876 Wireless, Print, Scan, Copy, All-in-One Printer - Cement [6W7E6C]","3,499..00",N/A,Printers & Supplies,amazon
"Brother Wireless All In One Ink Tank Printer, DCP-T520W, Mobile & Cloud Print And Scan, High Yield Ink Bottles","8,689..98",N/A,Printers & Supplies,amazon
"HP Genuine 305 Black & Tri-Colour Ink Cartridge, Multipack, 3YM61AE, 3YM60AE","1,409..99",N/A,Printers & Supplies,amazon
"HP - 953XL High Yield Ink Cartridge B, C, M, Y)","9,168..00","EGP 9,990.00",Printers & Supplies,amazon
Canon Ink 4 Color 490 For Printer for Canon g1400-2400-3400,"2,064..00","EGP 2,600.00",Printers & Supplies,amazon
HP Laserjet Pro MFP 4103dw Printer,"18,088..00",N/A,Printers & Supplies,amazon
"EPSON EcoTank L3250 Home ink tank printer A4, colour, 3-in-1 printer with WiFi and SmartPanel App connectivity","9,299..00","EGP 11,528.00",Printers & Supplies,amazon
HP 106A Laser Toner Cartridge - Black,"2,810..00",N/A,Printers & Supplies,amazon
EPSON 103 EcoTank Black ink bottle,650..00,EGP 699.00,Printers & Supplies,amazon
"HP Smart Tank 790 All-in-One Printer wireless, Print, Scan, Copy, Fax, Auto Duplex Printing, Document Feeder, Print up to 18000 black or 8000 color pages, White/Grey [4WF66A]","16,199..00",N/A,Printers & Supplies,amazon
HP Product GT52 Ink Bottle (All -Pack of 4),"2,249..79","EGP 2,660.00",Printers & Supplies,amazon
"HP LaserJet MFP M141a Printer, Print, copy, scan, White -[7MD73A]","6,444..00","EGP 6,880.00",Printers & Supplies,amazon
Canon PIXMA TS3340 BK,"2,444..00","EGP 3,510.00",Printers & Supplies,amazon
Xiaomi Mi Portable Photo Printer - White,"2,699..00",N/A,Printers & Supplies,amazon
4 x 100ml Universal Ink Refills for Epson Canon HP Brother Lexmark Dell Kodak Inkjet Printer CES (4 Colors),235..00,N/A,Printers & Supplies,amazon
HP OfficeJet Pro 9730 Wide Format All-in-One Printer (537P5C),"11,199..00",N/A,Printers & Supplies,amazon
"Epson 103 Ink EcoTank 4-colour Multipack, Black, Magenta, Cyan, Yellow, Large","2,295..00",N/A,Printers & Supplies,amazon
"EPSON EcoTank L3251 Home ink tank printer A4, colour, 3-in-1 printer with WiFi and SmartPanel App connectivity","9,090..00","EGP 9,324.00",Printers & Supplies,amazon
CANON MC-G02 Maintenance Cartridge,749..00,"EGP 1,010.00",Printers & Supplies,amazon
106A Compatible Toner Cartridge Replacement for HP 107A - 135A - 137FNW,490..00,N/A,Printers & Supplies,amazon
"HP DeskJet Ink Advantage 4276 Wireless, Print, Scan, Copy, All-in-One Printer - [60K49C]","4,099..00",N/A,Printers & Supplies,amazon
HP LaserJet Pro MFP 4103fdw Printer,N/A,N/A,Printers & Supplies,amazon
HP 652 Ink Cartridge Tri Color Set (Black),"1,984..98",N/A,Printers & Supplies,amazon
Epson -Eco Tank printer L3210,"7,545..00","EGP 10,235.22",Printers & Supplies,amazon
"HP 3YP35AE 963XL High Yield Original Ink Cartridge, Black/Cyan/Magenta/Yellow, Multipack","7,950..00","EGP 8,848.00",Printers & Supplies,amazon
CANON Ink cartridge PG-445 BLACK EMB,899..00,N/A,Printers & Supplies,amazon
"EPSON EcoTank L6290 Office ink tank printer A4 colour 4-in-1 printer with ADF, Wi-Fi and Smart Panel Connectivity and LCD screen","21,199..00","EGP 25,999.00",Printers & Supplies,amazon
"Canon PIXMA IJ MFP TS5340 Copy, print,scan and Cloud with an affordable All-In-One","3,222..00","EGP 3,777.00",Printers & Supplies,amazon
Hp 26a (cf226a) Black Laserjet Toner Cartridge,"7,999..00",N/A,Printers & Supplies,amazon
Canon i-SENSYS LBP6030B Monochrome laser beam,"6,999..00","EGP 7,750.00",Printers & Supplies,amazon
Canon Pg445 and Cl446 Combo Pack for Ip2840 Mg2440 Mg2540 Mg2940 Printers,"1,550..00",N/A,Printers & Supplies,amazon
"Brother Wireless All In One Ink Tank Printer, DCP-T720DW, Automatic 2 Sided Features, Mobile & Cloud Print And Scan, High Yield Ink Bottles","12,599..10","EGP 13,999.00",Printers & Supplies,amazon
Canon MF3010 Laser Printer 3in1 - Canon 3 in 1 black laser printer,"9,999..00","EGP 10,490.00",Printers & Supplies,amazon
"Brother genuine btd60bk ultra high yield black ink bottle for ink tank printers, 108 ml",649..00,"EGP 1,014.00",Printers & Supplies,amazon
"BROTHER Wireless All-in-1 Monochrome Laser Printer, DCP-L2540DW with Duplex & Mobile Printing","12,389..00","EGP 13,489.00",Printers & Supplies,amazon
TONER EXPERTE® Compatible MLT-D111S Toner Cartridge for Samsung Xpress SL-M2020 M2020W SL-M2026 M2026W SL-M2070 M2070W M2070FW M2070F SL-M2021 M2021W SL-M2022 M2022W SL-M2071 SL-M2078 (1000 Pages),360..00,N/A,Printers & Supplies,amazon
IJ MFP PIXMA TS3640 MEA,"2,555..00","EGP 3,120.00",Printers & Supplies,amazon
"Brother 4 Pieces - BT6000BK/BT5000CMY Printers Ink Bottles for DCPT300/T500/T700W/T800W (4 Pieces, Black/Cyan/Magenta & Yellow)","2,499..00",N/A,Printers & Supplies,amazon
HP Laserjet Pro 4003n Monochrome Printer,"9,244..00",N/A,Printers & Supplies,amazon
Canon 445 Ink Cartridge (Black),N/A,N/A,Printers & Supplies,amazon
"Fujifilm Mini Link Smartphone Printer, Dusky Pink","6,796..00",N/A,Printers & Supplies,amazon
CANON INK GI-41 PBK,898..00,N/A,Printers & Supplies,amazon
N+A 4 x 100ML Universal Refill Ink kit for Epson Canon HP Brother Lexmark DELL Kodak Inkjet Printer CISS Cartridge Printer Ink (4 Color + 1Black),280..00,N/A,Printers & Supplies,amazon
Canon Pixma Multifunction Printer - MG2540S,"2,799..00",N/A,Printers & Supplies,amazon
"HP 305 Black Original Ink Cartridge 305, Standard, W125916837 (Cartridge 305, Standard Yield, Pigment-Based Ink, 120 Pages, 1 Piece, Single Pack)",899..00,N/A,Printers & Supplies,amazon
"HP 305 Color Ink Cartridge, Black","1,410..00",N/A,Printers & Supplies,amazon
"INK CANON 41 PLXMA set of 4 colors Black, Cyan, Yellow, Magenta","2,596..00",N/A,Printers & Supplies,amazon
"Canon PIXMA TR4645 Wireless Colour All-in-One Inkjet Photo Printer, Black","4,061..25",N/A,Printers & Supplies,amazon
BROTHER TONAER TN -3437,"6,666..00",N/A,Printers & Supplies,amazon
Faber-Castell Faber Castell 185506 Standard Ink Cartridge - Blue (Pack of 6),30..00,N/A,Printers & Supplies,amazon
"HP 653 Ink Advantage Cartridge, Black","2,099..00",N/A,Printers & Supplies,amazon
"EPSON EcoTank L5290 Office ink tank printer A4 colour 4-in-1 printer with ADF, Wi-Fi and Smart Panel Connectivity and LCD screen","14,378..21","EGP 20,400.00",Printers & Supplies,amazon
Canon CART PG445 BK&CL446 CLR Multicolour,"1,425..00",N/A,Printers & Supplies,amazon
Toner Cartridge for Canon i-SENSYS LBP-MF3010 (725),265..00,N/A,Printers & Supplies,amazon
85A Pure Toner Cartridge Replacement for HP 85A CE285A Printer for P1102 P1102w P1109w P1005 P1006 M1132 MFP-M1212nf MFP-M1217nfw Printer,275..00,N/A,Printers & Supplies,amazon
106A Toner Compatible with HP 106A Toner W1106A for Laser MFP 135wg 137fwg 135w 137fnw 135r 135a Laser 107w 107a 107r Printer Cartridge (Black),N/A,N/A,Printers & Supplies,amazon
"Toner Compatible with Chip Replaces HP 106A W1106A (Black, 1000 Prints) for LaserJet 100 Series and Laserjet Series MFP 130, MFP 135a, 135w, 137, 107a, 107w, 106A",490..00,N/A,Printers & Supplies,amazon
HP - Inkjet Printer Ink - 650 Group,"1,690..00","EGP 1,799.00",Printers & Supplies,amazon
XP-58IIT 58mm Thermal Bill Printer - POS Solution,"1,339..00","EGP 1,449.00",Printers & Supplies,amazon
"Canon Ink - Black, PG-445 8ml",874..00,N/A,Printers & Supplies,amazon
Black Toner 44A CF244A Pure Toner for HP Laserjet Pro MFP M28w M15w M28a M15a M29w M29a Printer,350..00,N/A,Printers & Supplies,amazon
"HP CF259A 59A Original LaserJet Toner Cartridge, Black, Single Pack","6,350..00",N/A,Printers & Supplies,amazon
HP No 650 Ink Cart Black CZ101AE,993..00,N/A,Printers & Supplies,amazon
Mini Handheld Portable-Bluetooth Thermal Receipt Printer,"2,877..00",N/A,Printers & Supplies,amazon
Hp 123 Black Ink Cartridge 120 Pages,847..00,N/A,Printers & Supplies,amazon
instax Fujifilm mini link smartphone printer - white,"6,638..29",N/A,Printers & Supplies,amazon
"HP Laser MFP 137fnw, Print, copy, scan - White [4ZB84A]",N/A,N/A,Printers & Supplies,amazon
"Canon Ink Cartridge - 445, Black",999..00,N/A,Printers & Supplies,amazon
Ink Inspiration CF244A Compatible with HP M15w Black Toner Cartridge Replacement for 244A 44A for HP LaserJet Pro M15a MFP m28w M28a M29w M29a,310..00,EGP 320.00,Printers & Supplies,amazon
"Premium Refill Ink one Color 100ml for Cartridge Printer Cyan, Magenta, Yellow or Black (Black)",95..00,N/A,Printers & Supplies,amazon
EPSON EcoTank L1250 Home ink tank A4 printer with WiFi and SmartPanel App connectivity,"10,999..00",N/A,Printers & Supplies,amazon
CANON Ink cartridge CL-446 COLOR EMB,718..00,EGP 738.46,Printers & Supplies,amazon
"EPSON EcoTank L3560 Home Ink Tank Printer, High-speed A4 colour 3-in-1 printer with Wi-Fi Direct, Photo Printer, with Smart App connectivity,Black","17,999..00",N/A,Printers & Supplies,amazon
"HP ScanJet Pro 2600 f1, Fast 2-Sided scanning and auto Document Feeder (20G05A)","11,830..50",N/A,Printers & Supplies,amazon
17A Pure Toner Cartridge Compatible for HP CF217A & HP LaserJet Pro MFP-M130fw M130nw M130fn M130a M130jetPro M102W M102A M102 Printers,280..00,N/A,Printers & Supplies,amazon
City Print Replacement for Brother 2130 Toner Cartridge,490..00,N/A,Printers & Supplies,amazon
Brother genuine tn-2355 high yield black ink printer toner cartridge,"3,999..00",N/A,Printers & Supplies,amazon
TC-CE285A Compatible Laser Toner Cartridge for HP 85A HP LaserJet PRO P1102 P1102W M1312 M1212nf MFP,245..00,N/A,Printers & Supplies,amazon
"Ink Inspiration® Compatible Laser Toner Cartridge Replacement for HP Q2612A 12A LaserJet 1010 1012 1015 1018 1020 1022 1022n 1022nw 3010 3015 3020 3030 3050 3052 3055 M1005 M1319f MFP | 2,000 Pages",212..94,N/A,Printers & Supplies,amazon
