name,price,Original Price,category,site
"Anker Soundcore Pyro Mini Portable Bluetooth Speaker IPX4 Waterproof Outdoor Speaker, Bluetooth 5.3,6W output power that delivers high-quality sound, Black, 18 Months Warranty",896..50,"EGP 1,105.00",Speakers,amazon
"JBL Go 4 Portable Bluetooth Speaker with IP67 Waterproof Design, 7H Playtime, PlaytimeBoost, JBL Pro Sound, Deep Bass, Multi-Speaker Connection for Stereo Sound - Black |1 year manufacturer warranty","2,248..95","EGP 2,516.00",Speakers,amazon
"JBL Flip 6 Wireless Portable Bluetooth Speaker Pro Sound, Up to 12 Hours Playtime, IP67 Water & Dustproof, PartyBoost & Personalization App Black |1 year manufacturer warranty","5,330..00","EGP 6,646.00",Speakers,amazon
Xiaomi Sound Pocket 5W Portable Speaker|6 month manufacturer warranty,N/A,N/A,Speakers,amazon
Wireless Mic Advance Handheld Wireless Singing Mike Multi-Function Bluetooth Karaoke Mic with Microphone Speaker for All Smart Phone (Multicolor- Colour May Vary),200..00,N/A,Speakers,amazon
"Sony SRS XE200 X Series Wireless Ultra Portable Bluetooth Speaker, IP67 Waterproof, Dustproof and Shockproof with 16 Hour Battery and Easy to Carry Strap, Black, SRSXE200/B,","3,170..27","EGP 5,999.00",Speakers,amazon
"JBL Partybox Club 120 Portable Party Speaker with Pro Sound, Light Show, 12H Battery, IPX4 Splash Resistant, Ergonomic Handle, Powerful 160W Output, Bluetooth Streaming |1 year manufacturer warranty","20,998..95","EGP 24,092.00",Speakers,amazon
Table Lamp Lamp Rgb Smart Bluetooth Speaker Wireles Technology RGB Speaker Speaker Sound Box And Bluetooth Induction Charger Wireless Charging Night Light Ambient,428..00,EGP 479.00,Speakers,amazon
Samsung 3.1.2Ch Wireless Soundbar with Dolby Atmos/DTS Virtual:X 2 Up-Firing Speakers In-Built Subwoofer Bluetooth Connectivity Black - HW-S800B/ZN,"16,521..74",N/A,Speakers,amazon
"Anker soundcore flare 2 bluetooth speaker, with ipx7 waterproof protection and 360 sound for backyard and beach party, 20w wireless speaker with partycast, eq adjustment, and 12-hour playtime, black","2,799..00",N/A,Speakers,amazon
