name,price,Original Price,category,site
Samsung 50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model],"16,998..00",N/A,Televisions,amazon
Samsung 32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"8,110..00","EGP 9,199.00",Televisions,amazon
"TORNADO Smart LED TV 43 Inch Full HD, Wi-Fi, RF, USB, HDMI - 43ES1500E - Shahid VIP Promotion","11,499..00","EGP 12,949.00",Televisions,amazon
"LG UHD 4K TV 60 Inch UQ7900 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 60UQ79006LD (New)","19,888..00","EGP 23,999.00",Televisions,amazon
Samsung 50 Inch TV Crystal Processor 4K LED - Titan Gray - UA50DU8000UXEG [2024 Model],"18,972..82","EGP 20,999.00",Televisions,amazon
LG 55 Inch UHD UT80 4K Smart TV AI Magic remote HDR10 webOS24-55UT80006LB (2024),"19,999..00",N/A,Televisions,amazon
LG LED Smart TV 43 inch LM6370 Series Full HD HDR Smart LED TV - 43LM6370PVA,"14,100..00","EGP 15,499.00",Televisions,amazon
"Skyline 32 Inch HD Standard LED TV, Black -32-22A","3,969..00","EGP 4,499.00",Televisions,amazon
TORNADO FHD DLED TV 43 Inch Built-In Receiver 43EC3300E,"10,426..33","EGP 12,349.00",Televisions,amazon
SHARP 4K Smart Frameless TV 55 Inch Built-In Receiver 4T-C55FL6EX,"17,999..00","EGP 23,499.00",Televisions,amazon
Samsung 55 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA55QE1DAUXEG [2024 Model],"23,499..00",N/A,Televisions,amazon
"Xiaomi TV A 43 2025, 43"", FHD, HDR, Cinematic Smart TV, 43-Inch Screen Size Google Assistant platform built-in receiver and Chromecast, metal finish Dolby Atoms 2 years local warranty","9,999..00",N/A,Televisions,amazon
Samsung 55 Inch 4K UHD Smart LED TV with Built-in Receiver - UA55DUE800UXEG,"19,699..00",N/A,Televisions,amazon
"JAC 50 Inch Frameless 4K UHD Smart LED TV, Black - 50JC7132F","12,799..00",N/A,Televisions,amazon
SHARP 43 Inch Frameless LED FHD Smart With Built-In Receiver Google TV - 2T-C43FG6EX,N/A,N/A,Televisions,amazon
"Fresh 43 Inch HD Smart LED Coolita Frameless TV With Built-In Receiver, Black - 43LF423CE","9,986..33","EGP 10,299.00",Televisions,amazon
Haier H32K80E- 32 Inch HD Smart Google TV - Dolby Audio - Stereo Speaker - Voice Control - HDR10 - Chromecast - HDMI 2.1 - Bezel-Less Design,"6,700..00","EGP 7,799.00",Televisions,amazon
"Armadillo 32 Inch Frameless HD Standard LED TV, Black - ARM32VA4N","3,899..00","EGP 4,399.00",Televisions,amazon
SHARP 4K Smart Frameless TV 65 Inch Built-In Receiver 4T-C65FL6EX,"27,999..00",N/A,Televisions,amazon
Samsung 65 Inch 4K UHD Smart LED TV with Built-in Receiver - UA65DUE800UXEG,"28,535..00",N/A,Televisions,amazon
Haier H55K80EU-55 Inch 4K UHD Smart Google TV - Dolby Audio - Stereo Speaker - MEMC/VRR/ALLM - 2+32GB RAM/ROM - Voice Control - HDR10 - Chromecast- HDMI 2.1 - Bezel-Less Design,"16,129..80","EGP 19,999.00",Televisions,amazon
LG 43 Inch UHD UT80 4K Smart TV AI Magic remote HDR10 webOS24-43UT80006LA (2024),"16,499..00","EGP 17,499.00",Televisions,amazon
LG 65 Inch NanoCell NANO80T 4K Smart TV AI Magic remote HDR10 webOS24-65NANO80T6A (2024),"29,794..27","EGP 33,999.00",Televisions,amazon
Haier H65K80EU- 65 Inch 4K UHD Smart Google TV - Dolby Audio - Stereo Speaker - MEMC/VRR/ALLM - 2+32GB RAM/ROM - Voice Control - HDR10 - Chromecast- HDMI 2.1 - Bezel-Less Design,"20,998..00",N/A,Televisions,amazon
SkyLine 43 Inch Full HD Frameless LED TV,"7,299..00",N/A,Televisions,amazon
Samsung 65 Inch TV Quantum Processor 4K QLED - Eclipse Silver - QA65Q80DAUXEG [2024 Model],"46,064..00","EGP 59,999.00",Televisions,amazon
LG 65 Inch QNED QNED80T 4K Smart TV AI Magic remote HDR10 webOS24-65QNED80T6B (2024),"36,999..00",N/A,Televisions,amazon
Skyline 32 Inch Smart LED TV 32-22S,"4,930..00","EGP 5,299.00",Televisions,amazon
ATA 32 Inch HD LED Standard TV Black - 32AJ20H LE,N/A,N/A,Televisions,amazon
"Grouhy 43 Inch FHD Smart LED TV, Black - GLD43SAWOR","7,950..00",N/A,Televisions,amazon
Samsung 55 Inch QD-OLED Smart TV 4K - Neural HDR Quantum Processor 4k With 6 Speakers - QA55S95CAUXEG [2023 Model],"44,997..68",N/A,Televisions,amazon
TORNADO FHD DLED Smart TV 43 Inch Wi-Fi Connection 43ES4600E,N/A,N/A,Televisions,amazon
ATA 43 Inch Full HD LED Standard TV Black - 43DN4,"7,059..00",N/A,Televisions,amazon
Haier H50K80EU-50 Inch 4K UHD Smart Google TV - Dolby Audio - Stereo Speaker - MEMC/VRR/ALLM - 2+32GB RAM/ROM - Voice Control - HDR10 - Chromecast- HDMI 2.1 - Bezel-Less Design,N/A,N/A,Televisions,amazon
LG 43 Inch 4K UHD Smart TV 4K AI Magic remote- 43UR801C0LJ.AFU,"14,499..00",N/A,Televisions,amazon
"Jack 43JB621 Inch Full HD LED Smart Android TV, Black","8,799..00",N/A,Televisions,amazon
"Grand Smart TV 42 Inch - Full HD LED Frameless TV, WiFi, YouTube, Google, Surround Sound, Dolby Plus","7,999..00",N/A,Televisions,amazon
Samsung 65 Inch QD-OLED Smart 4K TV - Neural HDR Quantum Processor 4K - Graphite Black - QA65S90DAUXEG [2024 Model],"70,119..00",N/A,Televisions,amazon
"GTV 43 Inch Frameless FHD Smart LED TV, Black - GTVLD43SAWOR","7,959..00",N/A,Televisions,amazon
ATA 55 Inch 4K Smart TV - ATA55U0S,"13,199..00","EGP 13,999.00",Televisions,amazon
Samsung 50 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA50Q60DAUXEG [2024 Model],"25,099..00",N/A,Televisions,amazon
Jack 32 Inch LED TV 1280*720P (HD) 2 HDMI 2 USB 2023 TV,"4,650..00",N/A,Televisions,amazon
"GTV 32 Inch Frameless HD Standard LED TV, Black - GTVLD32NA","3,999..00",N/A,Televisions,amazon
"JAC 43 Inch FHD Smart LED TV NGLD, Black - 43JC6121B",N/A,N/A,Televisions,amazon
TORNADO 4K Smart Frameless QLED TV 65 Inch Built-In Receiver 65QS3500E,"24,299..00","EGP 30,299.00",Televisions,amazon
"SHARP Smart Frameless LED TV 32 Inch HD With Android System, Built-In Receiver, 2 HDMI and 2 USB Inputs - 2T-C32DG6EX","8,699..00",N/A,Televisions,amazon
"Hoho 32 Inch HD Standard LED TV, HK 3205 - Black","4,099..00",N/A,Televisions,amazon
Samsung 85 Inch TV Neo Quantum Processor 4K QLED - Titan Black - QA85QN85DBUXEG [2024 Model],"139,999..00",N/A,Televisions,amazon
32 Inch Hd Smart Led Tv Hk3205S 731.8 * 98.3 * 435.1mm Black,"4,999..00",N/A,Televisions,amazon
JAC 32AS 32 Inch HD LED TV,"4,699..00",N/A,Televisions,amazon
Samsung 55 Inch QLED-The Frame 4K Smart TV- QA55LS03DAUXEG [2024 Model],"35,460..00","EGP 43,999.00",Televisions,amazon
Haier H50S80EU- 50 Inch 4K QLED Smart Google TV - Gaming@120 Hz - Dolby Vision & Atmos - MEMC/VRR/ALLM - 2+32GB RAM/ROM - Voice Control - HDR10 - Chromecast- HDMI 2.1 - Premium Bezel-Less Design,"18,616..86",N/A,Televisions,amazon
"RT Home FHD LED TV 40 INCH - I Cast (RT-40A),Black","6,909..00",N/A,Televisions,amazon
JAC 32 Inch HD LED Smart Android TV With Metal Frame - 132ASS1,"5,999..00",N/A,Televisions,amazon
