title,price,offer,category,site
"Kisonli Kisonli LED-802 Soundbar Music Speaker , 7 Lighting Modes Switch ,1500mAh - Black",595,N/A,audio,noon
Xiaomi Redmi Buds 6 Lite | 40dB With Hybrid ANC | Dual-mic With AI | upto 38 Hrs battery life | EQ Setting Blue,"1,399",12%,audio,noon
"Xiaomi Redmi buds 6 Lite Hybrid ANC Wireless Earbuds, Active Noise Cancellation up to 40 dB, 38 Hours Music Playback, EQ Mode, Google Fast Pair Compatible, Fast Charging |6 month manufacturer warranty WHITE","1,399",12%,audio,noon
"Yesido Yesido YH53 3.5mm In-Ear Wired Earphone, Length: 1.2m(White)",149,50%,audio,noon
Recci RECCI Metal Type-C Wired Earphone REP-L38,399,50%,audio,noon
Recci Recci RSK-W40 Phantom Series Portable Wireless Bluetooth Speaker,"2,199",45%,audio,noon
Yesido YH25 Best Price In-Ear Design 3.5Mm Hifi Headphone Mini Earbuds Sport Earphone With Microphone,149,50%,audio,noon
Recci Recci REP-W59 Baron Series ANC Featured FM Support Adjustable Over-Ear Bluetooth Headphones,"2,499",37%,audio,noon
Recci Recci RSK-W40 Phantom Series Portable Wireless Bluetooth Speaker,"2,199",45%,audio,noon
LANEX Lanex Aurora BT V5.0 Wireless Speaker With LED LY06,"1,199",46%,audio,noon
Recci Recci REP-L37 In-Ear Professional Sound Isolation 3.5mm Headphones,325,34%,audio,noon
Recci Recci Earphone Wired 3.5MM REP-L15 - White,199,50%,audio,noon
"Recci RECCI REP-L06 WIRED EARPHONE, PURE SOUND QUALITY",199,50%,audio,noon
Yesido Yesido YH52 Headphones with Microphone Lightning White,499,50%,audio,noon
Recci Recci Mini Bluetooth Portable Wireless Speaker RSK-W43,"1,499",50%,audio,noon
LANEX LY08 Wireless Speakers,"1,099",45%,audio,noon
Recci Recci Mini Bluetooth Portable Wireless Speaker RSK-W43,"1,499",50%,audio,noon
LANEX Lanex LE01 Stereo Sound Bass Headset Handfree Handsfree Plus Mic Call,149,62%,audio,noon
LANEX LY09 Wireless Speaker,"1,199",40%,audio,noon
Recci Recci Mini Bluetooth Portable Wireless Speaker RSK-W43,"1,499",50%,audio,noon
Recci Recci REP-L36 Metal Wired Earphone Type-C – 120cm,349,41%,audio,noon
"rsilou OW01U OWS wireless Bluetooth Earbuds, Open-wear earbuds with bio-mimetic cochlear design for secure and lightweight fit, Waterproof integrated, Dual-mode dual decoding，Touch controls for waking up voice assist, answering calls and controlling music","1,400",N/A,audio,noon
Oraimo OTW 630 SpaceBuds Hybrid ANC Wireless Earbuds Space Gray,"2,200",8%,audio,noon
iLike Bluetooth wireless neckband headphone + Mobile holder,649,N/A,audio,noon
Soundcore Motion Boom Plus | Outdoor Portable Speaker Black,"7,596",N/A,audio,noon
"realme Buds T310 Truly Wireless in-Ear Earbuds with 46dB Hybrid ANC, 12.4mm Dynamic Bass Driver, Upto 40Hrs Battery and Fast Charging Vibrant Black","2,149",N/A,audio,noon
