title,price,offer,category,site
FUJIFILM instax Fujifilm Mini 12 Instant Camera with 20 Shot Film Pack - Pastel Blue,"4,999",N/A,cameras,noon
"EZVIZ TY1 Pro 1080p Pan & Tilt Smart Home Camera with Color Night Vision, Auto-Tracking, Human Shape Detection, Patrol Mode, 360° Coverage, H.265 Video Compression, Two-Way Audio, Wi-Fi & Ethernet Connectivity, MicroSD Support (Up to 512GB), Type-C Power Supply, 10m IR Range, Smart Integration with Google Assistant & Alexa","1,077",N/A,cameras,noon
HIKVISION Audio Fixed Mini Bullet Camera With 2.8-3.6 Mm Lens,"1,300",13%,cameras,noon
"IMOU Ranger 2 3MP 2K Camera for Home, 360° Security Camera, WIFI Camera Indoor, HD Baby Monitor, CCTV Camera for Home Wireless, Surveillance Camera with Human Detection, Smart Motion Tracking, Two-Way Talk","1,400",17%,cameras,noon
Generic IP WiFi Camera HD 1080P Auto Tracking Security Protection Wireless Surveillance,"2,999",N/A,cameras,noon
"EZVIZ H8c PoE 2K Pan & Tilt Camera, 360° Coverage, AI Human Detection, Auto-Tracking, Two-Way Audio, Color Night Vision, H.265 Video Compression, 12W Power, Supports Upto 512GB MicroSD & Cloud Storage, Weatherproof, Google Assistant & Alexa Integration, 30m IR Distance, PoE & DC 12V Power, Digital WDR, Motion Alerts, Customizable Zones, Easy Installation | CS-H8c PoE (2K)","3,250",N/A,cameras,noon
dji DJI Osmo Mobile 6 Smartphone Stabilizer - Gray,"6,588",15%,cameras,noon
eufy Eufy Indoor Cam C220 Pan & Tilt 2K - T8W11321 - White,"1,899",29%,cameras,noon
Generic Sutefoto TP-25 Tube Light,"7,500",N/A,cameras,noon
GoPro GoPro HERO 13 Action Camera CPSS1 - Black,"22,450",N/A,cameras,noon
Generic Home security Wi-Fi Camera | Smart. Secure. Easy| Motion and Notifications- 1080p High definition- Live view- storage up to 128G-  Tapo TC60,"1,700",N/A,cameras,noon
eufy Eufy S220 T8134321 2K Resolution Solar Solocam - White,"5,266",12%,cameras,noon
EZVIZ H9C With Dual Lens 3k Wi-Fi Camera,"3,999",N/A,cameras,noon
