title,price,offer,category,site
Dahua SSD-C970 Plus NVMe M.2 PCIe Gen4x4 Solid State Drive up to 6290 MB/s 1 TB,"2,980",N/A,data-storage,noon
Kingston Kingston 128GB Portable USB 3.2 Gen 1 FlashDrive DataTraveler Exodia Onyx 128 GB,360,N/A,data-storage,noon
Kingston 64GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP 64 GB,222,N/A,data-storage,noon
Kingston DataTraveler Exodia USB 3.2 Flash – DTX/128GB - 128 GB,360,49% Off,data-storage,noon
WD 2TB My Passport External Portable Hard Disk Drive USB 3.0 - WDBYVG0020BBK 2 TB,"3,905",N/A,data-storage,noon
Kingston 64 GB DataTraveler Exodia USB Flash Drive DTX/ 64 GB,215,54% Off,data-storage,noon
Kingston Kingston 64GB Portable USB 3.2 Gen 1 FlashDrive DataTraveler Exodia Onyx 64 GB,260,N/A,data-storage,noon
Kingston Micro SDC10 Card 128GB With SD Adapter 128 GB,494.65,N/A,data-storage,noon
"WD 1TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup- WDBYVG0010BBK-WESN 1 TB","2,864",N/A,data-storage,noon
HIKVISION Hikvision 32GB USB Flash Drive - HS-USB-M200(STD)/ 32 GB,144,42% Off,data-storage,noon
"HIKVISION HIKVISION 2.5-Inch Internal SSD 128GB, SATA 6Gb/s, up to 550MB/s - E100 Solid State Disks 3D Nand TLC 128 GB",550,13% Off,data-storage,noon
crucial Crucial BX500 500GB 3D NAND SATA 2.5-inch SSD Internal Solid State Drive for laptops and Desktops - CT500BX500SSD1 500 GB,"1,430",9% Off,data-storage,noon
WD 5TB My Passport Black USB 3.2 Gen 1- WDBPKJ0050BBK-WESN 5 TB,"6,065",N/A,data-storage,noon
Kingston MicroSDHC  Class 10 Canvas Flash Memory Card With Adapter 128 GB,515,N/A,data-storage,noon
Kingston 256GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP 256.0 GB,949,N/A,data-storage,noon
"Sandisk iXpand Flash Drive Luxe - USB-C + Lightning - for iPhone, iPad, Mac, USB Type-C devices including Android 64 GB","1,330",N/A,data-storage,noon
"crucial BX500 240GB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT240BX500SSD1 240 GB",940,62% Off,data-storage,noon
HIKVISION Internal SSD 512 GB,"1,499",54% Off,data-storage,noon
Lexar 128GB NS100 2.5 Inch SATA SSD LNS100-128RB 128 GB,585,N/A,data-storage,noon
HIKVISION E304C Ultra Dual Drive Go USB Type-C Flash Drive - 128 GB,550,N/A,data-storage,noon
HIKVISION 2.0 USB Flash Drive 16.0 GB,118,N/A,data-storage,noon
"WD My Passport Portable External Hard Drive, USB 3.0 With Automatic Backup and Software Protection (WDBPKJ0040BBK-WESN) Compatible With PC, PS4 4 TB","5,435",N/A,data-storage,noon
HIKVISION C1 MicroSD 32GB Memory Card Class10 With SD Adaptor 32 GB,144,N/A,data-storage,noon
"HIKVISION 16GB Metal USB 2.0 Flash High Speed Drive Disk Memory USB Storage, ransfer Speeds Up To 100MB/s 16 GB",164.85,N/A,data-storage,noon
HIKVISION Internal SSD 128 GB,599,N/A,data-storage,noon
