title,price,offer,category,site
"Oraimo Watch 5 Bluetooth Call Smart Watch 2.01inch HD Display Fitness Watch, 300 mAh, Scratch-resistant &Anti-Explosion Tempered Glass Screen with 100+ Sports Modes & Blood Oxygen & Heart Rate Monitor, Waterproof Light Chrome Black",899,35%,eg-Installments-new,noon
cardoo CardoO VR Box Pro – Wired VR Headset with Lightning Cable | Immersive VR Glasses with 360° Panoramic View | Built-in Wired Headphones,"1,499",25%,eg-Installments-new,noon
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Black","5,599",24%,eg-Installments-new,noon
W&O X9 ULTRA 2 Series 9 Wearfit Pro SmartWatch 2.2 Inch SUPER AMOLED Screen 480X320 Unlock AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,709,76%,eg-Installments-new,noon
"HUAWEI Watch GT 5 46mm Smartwatch, up to 14 Days Battery Life, All-new Running and Cycling Experience, Sharp-Edged Design Watch, Health Tracking, Compatible with iOS and Android, Blue","10,299",N/A,eg-Installments-new,noon
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Pink","5,599",24%,eg-Installments-new,noon
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Pink","5,599",24%,eg-Installments-new,noon
W&O X9 ULTRA 2 Series 9 Wearfit Pro SmartWatch 2.2 Inch SUPER AMOLED Screen 480X320 Unlock AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,709,76%,eg-Installments-new,noon
Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case With Black Sport Band,"20,450",7%,eg-Installments-new,noon
"Oraimo Watch 5 Bluetooth Call Smart Watch 2.01inch HD Display Fitness Watch, 300 mAh, Scratch-resistant &Anti-Explosion Tempered Glass Screen with 100+ Sports Modes & Blood Oxygen & Heart Rate Monitor, Waterproof Light Chrome Black",899,35%,eg-Installments-new,noon
cardoo cardoO VR Box Pro – Wired VR Headset with Type-C Cable | Immersive VR Glasses with 360° Panoramic View | Built-in Wired Headphones,"1,499",25%,eg-Installments-new,noon
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android Starry Black","1,777",38%,eg-Installments-new,noon
"WHOOP 4.0 with 12 Month Subscription – Wearable Health, Fitness & Activity Tracker – Continuous Monitoring, Performance Optimization, Heart Rate Tracking – Improve Sleep, Strain, Recovery, Wellness Black","16,825",N/A,eg-Installments-new,noon
"QCY Watch GT Smart Watch With Retina AMOLED HD Display, Brightness Sunlight Display, Health Monitoring, 10 Days Battery and 100 + Sports Modes Black","1,699",15%,eg-Installments-new,noon
"cmf by NOTHING Watch Pro 2, 1.32"" AMOLED Display, Built-in multi-system GPS, 120 Sports Modes, Smart Sleep Algorithm, Bluetooth calling with AI noise reduction, MENA Version Dark Grey","2,879",17%,eg-Installments-new,noon
"KIESLECT Smartwatch Actor with 1.6"" LTPO AMOLED, GPS and up to 15 days battery life  - Black","3,120",N/A,eg-Installments-new,noon
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android White","5,299",28%,eg-Installments-new,noon
Oraimo Watch 4 Plus Bluetooth Call Smart Watch 2.01inch HD Display Fitness Tracker with Heart Rate Sleep Monitor Pedometer IP68 Waterproof Black,"1,699",29%,eg-Installments-new,noon
"Mibro A2 Smart Watch, 1.39"" HD Touch Display, 70 Sports Modes, Heart Rate Sensor, SpO2 Sensor, Accelerometer, Bluetooth Calling, 2ATM Waterproof, Dual Strap, Black","1,202",N/A,eg-Installments-new,noon
Mibro Lite 2 Smartwatch with Bluetooth Calling and 1.3 Inch AMOLED Screen - Tarnish,"1,899",N/A,eg-Installments-new,noon
"KOSPET Tank T3 Ultra Smartwatch - 1.43"" Amoled Display,  GPS, 10 Day Battery Life, 5ATM Water resistant, 130+ Sports Modes, Heart Rate Monitoring, Sleep Tracking, Rugged Design Black","3,650",N/A,eg-Installments-new,noon
"Xiaomi Redmi Watch 3 Active – 1.83” LCD Display, 5ATM Water Resistance, 12-Day Battery Life –  Charcoal Black (BHR7266GL) Charcoal Black","2,066",N/A,eg-Installments-new,noon
Apple Watch SE (2024) GPS 44mm Midnight Aluminium Case With Midnight Sport Band,"14,399",N/A,eg-Installments-new,noon
Meta Quest 3S 128GB White,"22,999",N/A,eg-Installments-new,noon
"HUAWEI WATCH GT 4 46 mm Smartwatch, 14 Days Battery Life, Science-based Calorie Management, Dual-Band Five-System GNSS Position, Pulse Wave Arrhythmia Analysis, Heartrate Monitor, Android & iOS Green","8,904",N/A,eg-Installments-new,noon
"Mibro Mibro Smart Watch GS Pro (Black) - 1.43"" Amoled Display, Bluetooth Calling, 20 Day Battery Life, 5ATM Waterproof, GPS Positioning, 105 Sports Modes, Heart Rate Monitoring, Sporty Style Strap","2,350",5%,eg-Installments-new,noon
"cardoo cardoO VR Box Max – 5.3 Bluetooth VR Headset, Premium VR Glasses for Android and iOS Mobile Phones (4.8 to 7.0) | 360° Panoramic View | iMax Cinema | Built-in Headphones","1,999",33%,eg-Installments-new,noon
"KOSPET Tank M3 Ultra Smartwatch (Black) - 1.96"" Amoled Display, GPS, Bluetooth Calling, 10 Day Battery Life, 5ATM Water resistant, 130+ Sports Modes, Heart Rate Monitoring, Sleep Tracking, Rugged Black","3,744",23%,eg-Installments-new,noon
Nabi Z7A Smart Watch Tracker For Kids - Pink,549,45%,eg-Installments-new,noon
Wearfit Pro HK9 ULTRA 2 Series 9 Wearfit Pro (2024) SmartWatch 2.12 Inch SUPER AMOLED Display 480X320 Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,"1,054",64%,eg-Installments-new,noon
"Mibro Mibro Lite 3 Pro Smartwatch 1.32"" AMOLED Display 10 Axis Motion Sensor Bluetooth Calling GPS 150+ Sport Modes 5ATM Water Resistant Heart Rate Monitoring 15 Days Battery Life Smartwatch Rose Gold","3,666",8%,eg-Installments-new,noon
"Mibro Mibro Lite 3 Pro Smartwatch 1.32"" AMOLED Display 10 Axis Motion Sensor Bluetooth Calling GPS 150+ Sport Modes 5ATM Water Resistant Heart Rate Monitoring 15 Days Battery Life Smartwatch Khaki Gray","3,666",8%,eg-Installments-new,noon
"Amazfit Pop 3R Smart Watch With 1.43"" (3.6 Cm) AMOLED Display, BT Calling and AI Voice Assistance Silver","2,799",30%,eg-Installments-new,noon
"ConnectME S9 Ultra Smart Smartwatch (3 Month Warranty From MediaTech),49mm Amoled Display screen,Bluetooth 5.3 ,180mAH, HryFine APP, IP67 Water Proof Level, 7 Days Battery Life, Pro-level Sports Modes, Blood oxygen & Pressure test ,Heart Rate Monitor, Sleep Monitoring","1,500",N/A,eg-Installments-new,noon
Oraimo Watch 2R OSW-30 Smart Watch With  Silicone Strap Black,"1,297",N/A,eg-Installments-new,noon
T500 Bluetooth Full Touch Call Smartwatch With Replaceable Strap Black,350,41%,eg-Installments-new,noon
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Silver","2,399",40%,eg-Installments-new,noon
"KIESLECT Smartwatch Balancs Note with 2.1"" AMOLED Display , GPS, health tracking modes, and supports Bluetooth calling - Black","1,549",29%,eg-Installments-new,noon
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Green","5,300",28%,eg-Installments-new,noon
"cmf by NOTHING Watch Pro Smartwatch With Bluetooth Calling, AMOLED Display, IP68 Water Resistant Dark Grey","2,340",5%,eg-Installments-new,noon
"Samsung Galaxy Watch7 44mm (Middle East Version) Smartwatch, Bluetooth, Sleep Coaching, Fitness Tracker - Silver","9,302",22%,eg-Installments-new,noon
"Samsung Galaxy Watch7 44mm (Middle East Version) Smartwatch, Bluetooth, Sleep Coaching, Fitness Tracker - Green","9,485",52%,eg-Installments-new,noon
"Infinix 300 mAh Infinix XW3E Smart Watch : IP68 Water Resistant, 1.43"" AMOLED with AOD, 7-Day Battery, 200 Stylish Watch Faces, Multiple Sports Modes,  Bluetooth Call Support, Health Monitoring & Fitness Tracking - Black","2,155",N/A,eg-Installments-new,noon
"JOYROOM 350 mAh 48mm JR-FC2 Pro Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc.. Grey","1,599",19%,eg-Installments-new,noon
"Oraimo 340 mAh Watch Nova AM 2.01"" AMOLED Screen Curved Cover Smart Watch Black","1,529",23%,eg-Installments-new,noon
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Black","2,490",N/A,eg-Installments-new,noon
cardoo Smart watch Egypt  touch screen CardoO watch for men Heart Rate waterproof Bluetooth Calls Smart  watch Support Arabic for Android and IOS (Black),"2,499",16%,eg-Installments-new,noon
Xiaomi Redmi Watch 5 Lite 1.96-Inch BHR8791GL Stylish Smartwatch with Fitness Tracking & Health Monitoring Light Gold Light Gold,"2,400",6%,eg-Installments-new,noon
Apple Watch Series 10 GPS 46mm Silver Aluminium Case With Denim Sport Band,"21,777",5%,eg-Installments-new,noon
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Graphite/Black,"9,288",59%,eg-Installments-new,noon
"Xiaomi 470 mAh Redmi Watch 5 Active,Bluetooth Calling With 3 Mic Enc 2 Hd Screen Hyperos Connectivity 18 Days Of Battery Life 200 Watch Faces IPX 8 Rating 140 Sports Modes-Midnight Black Global veersion Midnight Black","1,962",N/A,eg-Installments-new,noon
"cardoo CardoO VR Box Go – Lightweight VR Headset, VR glasses for Android and iOS Mobile Phones (4.8 to 7.0) | 360° Panoramic View | Multi-Function Button",999,33%,eg-Installments-new,noon
W&O X10 Ultra 3 Smart Watch 49mm - Curved Screen - Orange,845,35%,eg-Installments-new,noon
"Haylou LS12 Smartwatch 1.78"" Amoled HD display 10 days battery life Exquisite Metal Bezel Black Exquisite Metal Bezel Black","1,499",N/A,eg-Installments-new,noon
"Xiaomi Redmi Watch 4 Smart Watch BHR7848GL - Silver Gray -  1.97"" HD AMOLED Display, 150+ Sport Modes, 24-Hour Heart Rate & SpO2 Monitoring, Bluetooth Calling, 5ATM Water Resistance, 20-Day Battery Life Silver Gray","4,999",N/A,eg-Installments-new,noon
"Philips Essential Xl Electric Fryer Hd927090 6.2 L 2000 W Hd927090 , HD9270/91 Black","5,304",11%,eg-Installments-new,noon
"Haier Washing Machine 8 KG Front Loading , inverter Motor 525 mm ,Super Drum Steam - HW80-BP14929AS6 silver","20,999",N/A,eg-Installments-new,noon
"TORNADO Ceiling-Fan-Set of 3, 220V 20.4 kg TCF56WW White","4,320",9%,eg-Installments-new,noon
LG Mh8265Dis - Smart Inverter Microwave With Grill 42 L 1200 W Mh8265Dis Black,"8,999",N/A,eg-Installments-new,noon
"Haier Front Loading Washing Machine 10.5 KG , Direct Motion inverter Motor, 525mm Super Drum, Steam - 10.5 kg HW100-B14979S8 dark silver","29,990",N/A,eg-Installments-new,noon
"DSP DSP espresso machine, espresso coffee machine, espresso maker, coffee machine,2 0 Bar - 1050W, 1.5L Tank, Stainless Steel, Automatic with Safety Valve and Temperature Control, KA3113","6,749",45%,eg-Installments-new,noon
TORNADO Steam Iron  Ceramic Soleplate TST-2200 Multicolour,"1,314",21%,eg-Installments-new,noon
TORNADO Microwave Solo 25 L 900 W TM-25MS Silver,"5,699",N/A,eg-Installments-new,noon
SHARP Microwave Oven With Child Lock 25 L 900 W R-75MT(S) Silver/Black,"6,155",N/A,eg-Installments-new,noon
DSP DSP Coffee & Spice Grinder 200W KA-3002,949,47%,eg-Installments-new,noon
"DSP DSP Sandwich maker & triangles, stripes, waffles, nuts, donuts, shells MAker 6 * 1 with thermostat 800W KC1238 Black*Silver","2,999",45%,eg-Installments-new,noon
Philips Essential Air Fryer With Rapid Air Technology 4.1 L 1400 W HD9200/91/90 Black,"3,899",35%,eg-Installments-new,noon
"Sonai SONAI Yoghurt Maker, 8 Cups, 10 Watt, light indicator, White - MAR-1008 10 W MAR-1008 White/Clear",340,N/A,eg-Installments-new,noon
HOHO Electric Kettle 1.8L 1.8 L hoho -8820 Transparent,500,N/A,eg-Installments-new,noon
HOHO 12x Stainless Steel Electric Kettle 1.5 L 1500 W Multicolour,"3,000",N/A,eg-Installments-new,noon
BLACK+DECKER 3 In 1 Interchangeable Grill & Waffle& Sandwich Maker 650 - 780 W TS2130-B5 Black,"1,899",72%,eg-Installments-new,noon
Philips XL Capacity Digital Air fryer With Rapid Air Technology Wi Fi Connected Kitchen App Alexa Compatible 6.2 L 2000 W HD9280/91 Black,"5,884",34%,eg-Installments-new,noon
QQ 12x Steel Electric Kettle  220V 1.5L 1500W,"1,920",N/A,eg-Installments-new,noon
TORNADO Ceiling Fan Set of 3 TCF56WW White,"4,299",N/A,eg-Installments-new,noon
"Toshiba Kitchen Ventilating Fan 20 cm, Oil Drawer VRH20J10C Beige","1,038",13%,eg-Installments-new,noon
"BLACK+DECKER 3-in-1 Sandwich, Waffle Maker, and Grill, 4 Slice Capacity, Interchangeable Plates, 180° Flat Grill, Compact, Locking Clamp, Safe, Even Cooking, 1400 W TS4130-B5 black","2,990",30%,eg-Installments-new,noon
TORNADO Electric Blender 1.5 L 250 W MX900/2 White,"1,125",5%,eg-Installments-new,noon
"KENWOOD Blender Smoothie Maker With Grinder Mill, Chopper Mill, Ice Crush Function 2 L 500 W BLP15.360BK Black","1,799",40%,eg-Installments-new,noon
"TORNADO Ceramic Heater 16 meter, Remote 2000 W TPH-2000DF Black","3,545",14%,eg-Installments-new,noon
HOHO Glass Electric Kettle 1500W 1.8 L 1500 W HOHO-8816 multicolor,410,N/A,eg-Installments-new,noon
"BLACK+DECKER XXL Digital Air Fryer, 1.5KG Capacity With Rapid Air Convection Technology (Suitable For 4-6 People) 5.8 L 1700 W AF700-B5 Black","4,999",N/A,eg-Installments-new,noon
"KENWOOD Food Processor, 3L Bowl, 1.5L Blender, 10 Attachments, 3 Stainless Steel Disks, Blender, Grinder, Juicer Extractor, Whisk, Dough Maker, Citrus Juicer - 3 L 1000 W FDP65.750WH White","6,419",46%,eg-Installments-new,noon
"KENWOOD Digital Air Fryer, 2.8Kg, Rapid Hot Air Circulation, 7 L 1800 W HFP80.000BK Black","5,449",50%,eg-Installments-new,noon
"KENWOOD Digital Air Fryer, 2.4Kg, Rapid Hot Air Circulation, 5.5 L 1800 W HFP50.000BK Black","4,775",43%,eg-Installments-new,noon
TORNADO Air Fryer 1550 Watt 4 Liter LED Display Black x Silver THF-1554D-XL-BS,"3,999",N/A,eg-Installments-new,noon
