title,price,offer,category,site
"Samsung 27 Inch LED Monitor with Borderless Design - FreeSync, FHD, IPS, LF27T350FHMXZN , Black","4,499",14% Off,monitor-accessories,noon
"DELL 27 inch FHD Monitor Flicker-Less technology, Dell ComfortView, Low Blue Light, 3-sided bezeless, LED backlight, Speaker, DisplayPort 1.2, VGA, HDMI, Height, swivel & tilt Black","5,799",N/A,monitor-accessories,noon
"DELL SE2422H 24 Inch FHD LED Monitor, AMD FreeSync, 1920x1080 Resolution, 75Hz Refresh Rate, 5ms Response Time, 16:9 Aspect Ratio, VA Technology, Anti-Glare 3H Hard Coating, HDMI, VGA Port | SE2422H Black","4,799",N/A,monitor-accessories,noon
Samsung 24 Inch F24T350FHM 75hz 5ms Full HD IPS Monitor 24inch Black,"4,495",N/A,monitor-accessories,noon
"Samsung 27""Inch G5 Odyssey QHD 2K Curved Gaming Monitor, HRDR 10, VA Panel, 1ms MPRT, 165Hz with Game Mode, Supports AMD FreeSync, HDMI & DisplayPort | S27CG552EM Black","7,935",7% Off,monitor-accessories,noon
"Samsung SAMSUNG 27-Inch Odyssey OLED G6, 2K QHD, Refresh Rate 360Hz Silver","38,499",N/A,monitor-accessories,noon
"DELL Dell SE2722H 27'' Full HD LED Monitor, 1920x1080 Resolution, Up to 75Hz, VA-Panel, Anti-Glare, 8ms Response Time, 16:9 Aspect Ratio, 3H Hard Coating, AMD FreeSync, HDMI/VGA Port, Black | SE2722H BLACK","5,399",N/A,monitor-accessories,noon
"MSI G255F 24.5 Inch FHD Gaming Monitor - 1920 x 1080 Rapid IPS Panel, 180 Hz / 1ms (GtG), 99% sRGB Colour Gamut, Adaptive-Sync - DP 1.2a, HDMI 2.0b CEC Black","8,559",N/A,monitor-accessories,noon
NB NORTH BAYOU Monitor Desk Mount Stand Full Motion Swivel Arm Gas Spring for 17in-30in Computer From 4.4lbs to 14.3lbs Black,"2,320",14% Off,monitor-accessories,noon
"Lenovo Legion R27i-30 Gaming Flat Monitor, 27"" FHD IPS Display, Up to 180Hz Refresh Rate, 0.5ms (MPRT) Response Time, AMD FreeSync Premium & Adaptive Sync Compatible, 67B5GAC1AE Raven Black","10,700",N/A,monitor-accessories,noon
"Philips PHILIPS Evnia - 27M1C5500VL - 27 Inch QHD Curved Gaming Monitor, VA, 165Hz, 1ms, Smart Image HDR, Low input lag, Titl, VESA 100 (2560 x 1440 @ 165Hz, 250 cd/m² HDMI 2.0 / DP 1.4) multicolour","8,999",14% Off,monitor-accessories,noon
BenQ 27 inch GW2790 100Hz Gaming Computer Monitor FHD 1920x1080p | IPS | Eye-Care Tech | Low Blue Light | Anti-Glare | Adaptive Brightness | Built-in Speakers | DisplayPort | HDMI x 2 Black,"6,480",5% Off,monitor-accessories,noon
NB NORTH BAYOU NB H180 Dual Monitor Desk Mount Stand Full Motion Swivel Monitor Arm Gas Spring for 17''- 30'' Computer Monitor from 2kg to 9kg,"4,999",37% Off,monitor-accessories,noon
"DELL 27 Inch FHD P2722H (1920 x 1080) Monitor, 60 Hz, IPS, 5 ms, Ultrathin Bezel, 99% sRGB, DisplayPort, HDMI, 4x USB, Adjustable Stand (Height, Pivot, Swivel, Tilt) Black","9,350",49% Off,monitor-accessories,noon
"MSI G272QPF E2 Gaming Monitor, 27"" Rapid IPS Display, WQHD Resolution, 180Hz Refresh Rate, 1ms (GtG) Response Time, AMD FreeSync Technology, 1.07b Color Support, G272QPF-E2 Black","16,022",N/A,monitor-accessories,noon
"BenQ GW2490 100Hz Gaming Computer Monitor 24"" FHD 1920x1080p | IPS | Eye-Care Tech | Low Blue Light | Anti-Glare | Adaptive Brightness | Built-in Speakers | DisplayPort | HDMI x 2 Black","4,990",N/A,monitor-accessories,noon
HP 18.5 Inch Wxga Screen Led Monitor With TN Panel Black,"3,299",N/A,monitor-accessories,noon
"Samsung 24 Inch Full HD 75Hz LED Monitor with IPS panel and Borderless Design, Black, (LF24T350FHMXEG) Black","4,495",N/A,monitor-accessories,noon
"Samsung 22 Inch Full HD 75Hz LED Monitor with IPS panel and Borderless Design, Black, (LF22T350FHMXEG) Black","3,799",N/A,monitor-accessories,noon
"MSI G2412F Gaming Monitor, 24"" FHD Rapid IPS Display, 180Hz Refresh Rate, 1ms (GtG) Response Time, Adaptive Sync, Night Vision, 178° Wide Viewing Angle, Anti-Flicker & Less Blue Light, 9S6-3BB91T-004 Black","8,444",N/A,monitor-accessories,noon
"Samsung SAMSUNG 32-Inch Odyssey G5, IPS, 2K QHD Refresh Rate 180Hz & Response Time 1ms(MPRT) Gaming Computer Monitor with AMD FreeSyncBrands	 Samsung  Screen Size	 32  Refresh Rate	 180 HZ  PANEL TYPE	 IPS  Resolution	 2560×1440 Pixels BLACK","16,399",N/A,monitor-accessories,noon
Samsung Samsung 34 Inch Odyssey OLED G8 175Hz Curved Smart Gaming Monitor Silver,"46,799",21% Off,monitor-accessories,noon
NB NORTH BAYOU NB H100 Monitor Desk Mount Stand Full Motion Swivel Monitor Arm Gas Spring for 17''- 30'' Computer Monitor from 2kg to 9kg,"2,799",37% Off,monitor-accessories,noon
"ASUS 27-Inch TUF Gaming VG279Q3A Gaming Monitor Full HD(1920x1080), 180Hz, Fast IPS, ELMB Sync, 1ms (GTG), FreeSync Premium™, G-Sync compatible, Variable Overdrive, 99% sRGB Black","11,760",N/A,monitor-accessories,noon
