title,price,offer
JOYROOM 10000 mAh 22.5W LED Display Battery Status Monitoring Power Bank 3-Output External Battery Pack black,527.15,24% Off
"Oraimo 10000 mAh 22.5W Super Fast Charging, Slice Link Pro 10000mAH Powerbank 2,3 built in Charging Cables, lighting PD 20W ,Type-C 22.5W ,Universal Compatibility ,Multi-Layer Protection Gray",479,10% Off
"JOYROOM 10000 mAh 12W Joyroom , JR-PBF12 Power Bank with 3 Ports, Fast Charging  for iPhone 15 14 13 Pro, Huawei, iPad Pro/Air, Samsung Galaxy and Plus Encore, Black",379,N/A
"Anker 20000 mAh Power Bank, 87W Total Output, 65W tow-way Power with Built-in USB-C Cable & 1 USB-C and 1 USB-A, Charging Battery Pack for Laptop, for MacBook, iPhone 15 Series, Samsung, Switch, and More - Black","2,318",N/A
"Energizer 20000 mAh Ultimate Fast Charging PD Power Bank, Triple Outputs - 22.5W Power Delivery For iphones, Dual 18W Smart USB-A For Android Devices, LCD Digital Display, Dual Inputs, Micro-USB And Type-C Black","1,099",17% Off
JOYROOM 30000 mAh Joyroom Power Bank 22.5W PD QC3.0 AFC  (JR-QP193) Black,"1,090",10% Off
"Anker PowerCore Metro Essential 20000mAh 20W PD, Ultra slim External Battery, High-Speed PowerIQ for iPhone (14 ,15,16 ) & Samsung ( S21, S22,S23.S24) Black Fabric","1,559",N/A
"Anker 5000 mAh Anker 621 Magnetic Battery (MagGo), 5000mAh Magnetic Wireless Portable Charger with USB-C Cable, Only Compatible with iPhone 14/14 Pro/14 Pro Max, 13/12 Series black","1,049",41% Off
Anker 10000 mAh Powercore Power Bank 22.5W Portable Charger with USB C Cable Lanyard black,"1,350",28% Off
"Anker 10000 mAh Anker 334 MagGo Battery ( Powercore 10k )  20W,  Magnetic Power Bank, USB-C & Wireless Portable Charger Compatible with Magsafe, iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13/12 Series Black","1,580",47% Off
JOYROOM JR-QP192 20000mAh 22.5W Ultra Fast Charging Power Bank 2 Input 3 Output External Battery Pack Black,865.60,11% Off
"JOYROOM 10000 mAh 22.5W External Battery JR-PBF15,  Power Bank with 3 Ports, Fast Charging for iPhone 15 14 13 Pro, Huawei, iPad Pro/Air, Samsung Galaxy and Plus Encore, Black",449,11% Off
"Anker 10000 mAh Anker 334 MagGo Battery ( Powercore 10k ) Magnetic Power Bank, Wireless Portable Charger, 37W Fast Charging Battery Pack with USB-C Compatible with Magsafe, iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13/12 Series White","1,699",5% Off
JOYROOM 10000 mAh JOYROOM JR-T013 15W 10000mAh Fast Charging Power Bank Slim Lightweight LED Display External Battery Charger black,540,N/A
JOYROOM Magnetic Wireless Charging Mini Power Bank 10000 mAh Black,"1,077",16% Off
JOYROOM JR-W020 20W Mini Magnetic Wireless Power Bank 10000 mAh White,999,46% Off
"Anker 25000 mAh Anker Zolo Power Bank (25K, 165W, Built-In USB-C and Retractable Black","3,999",N/A
"JOYROOM 20000 mAh 20000 mAh 22.5W  JR-PBF16  20000mAh LED Fast Charging Power Bank High-Speed  for iPhone 14 ,15 ,16  & Samsung S21,S22,S23.S24 Black",745.85,N/A
MATRIX Matrix N82-20000mAh Power Bank Fast Charging 22.5W With LED Torch - Black,699,30% Off
"Anker 20000 mAh PowerCore Essential Portable Charger, High-Capacity 20W USB-C Power Delivery Black","1,549",22% Off
Ugreen 10000 mAh 10000mAh Power Bank 30W iPhone Portable Charger USB C Fast Charging High Speed Power Bank Smaller Battery Pack Compatible With iPhone 16 15 14 13 12 Series Galaxy S24 S23 Ultra iPad Pro AirPods Etc Grey,"1,308",N/A
