title,price,offer,category,site
"Canon Pixma TS3340 A4 3-in-1 Colour ink Printer, USB, WiFi Black","2,555",N/A,stationery-printers,noon
"HP Laser MFP 137fnw Printer - Print, Copy, Scan, Fax - Black and white, Printer for Small Medium Business [4ZB84A] White/Grey","10,430",13% Off,stationery-printers,noon
"HP LaserJet M111w Black & White Multifunction Printer, Print Speed Up To 20 ppm, 100 Sheets Output Capacity, 8000 Pages Monthly Cycle, USB / Wireless Connectivity and Perfect For Home | 7Md68A White","6,090",N/A,stationery-printers,noon
"HP Smart Tank 581 Wireless All In One Printer, Print, Scan, Copy, Print up to 6000 black or 6000 color pages - Grey [4A8D4A] Grey/Black","6,111",N/A,stationery-printers,noon
EPSON Ecotank L3210 All-in-One Ink Tank Printer A4 Black,"7,660",7% Off,stationery-printers,noon
"HP LaserJet MFP M141W Printer, Print/ Scan / Copy, Wireless Printing, Up to 20 ppm Print Speed, 8,000 pages Duty Cycle, 150 Sheet Input Tray, 600 x 400 dpi Copy Resolution 7MD74A White","7,790",N/A,stationery-printers,noon
Canon Pixma 3-in-1 Wi-Fi MegaTank Inkjet Printer - G3430  Activity Black,"6,499",N/A,stationery-printers,noon
Canon i-SENSYS LBP6030B Mono Laser Printer Black,"7,999",N/A,stationery-printers,noon
"HP LaserJet M111A Printer, Print Up To 20 PPM A4, 150-Sheets Input Tray, 500 MHz Processor Speed, Hi-Speed USB Connectivity, Perfect for Home & Office - 7MD67A | White","4,810",N/A,stationery-printers,noon
HP Laser MFP 135a Print/Copy/Scan/Multi-Functional All in One Office Printer [4ZB82A] White,"8,690",8% Off,stationery-printers,noon
Canon Pixma TR4640 All in One Printer - Black,"3,444",N/A,stationery-printers,noon
EPSON Ecotank L3250 Home Ink Tank 3-In-1 Colour Printer With Wifi And Smartpanel App Connectivity Black,"10,299",38% Off,stationery-printers,noon
"HP LaserJet Pro MFP 4103fdw Printer, 2.7"" Color Touchscreen Display, Up to 50ppm Print Speed, Up to 42cpm Copy Speed, 50 Sheets ADF Capacity, 2Z629A White","19,999",N/A,stationery-printers,noon
"HP Smart Tank 585 Wireless All In One Printer, Print, Scan, Copy, Print up to 18000 black or 6000 color pages - [1F3Y4A] Dark Surf Blue","6,433",9% Off,stationery-printers,noon
"HP Laser MFP 135w - Print, Copy, Scan - Up to 20 Page Per Minute - White [4ZB83A] 40.6 x 36 x 25.3cm White","9,815",N/A,stationery-printers,noon
"Canon PIXMA G3410 All-in-One-WiFi Compact Printer for Low Cost & High Yield Printing, Copy and Scan Black","6,599",12% Off,stationery-printers,noon
"EPSON Ecotank L6270 Office Ink Tank Printer A4 Colour 3-In-1 Printer With ADF, Wi-Fi And Smart Panel Connectivity And Lcd Screen Black","19,999",N/A,stationery-printers,noon
