title,price,offer,category,site
HP Wireless Computer Mouse W10 Rechargeable Slim Silent Multicolour,111,79% Off,tablets,noon
DELL Vostro 3520 Laptop with 15.6 inch FHD Display/ Intel Core i7-1255U Processor/ 8GB RAM/ 512GB SSD/ Intel UHD Graphics/ Ubuntu - English/Arabic Black,"25,999",23% Off,tablets,noon
"REDRAGON FIZZ K617 60% Mechanical Keyboard, Red Key Switches, Hot-Swappable, Detachable Type-C Cable, Pro Software Customizable RGB, Full Rollover 61-Keys, White/Gray | K617-RGB","1,485",25% Off,tablets,noon
"Samsung 27 Inch LED Monitor with Borderless Design - FreeSync, FHD, IPS, LF27T350FHMXZN , Black","4,499",14% Off,tablets,noon
Lenovo Tab M9 9-inch Arctic Grey 4GB RAM 64GB 4G - Middle East Version,"6,535",26% Off,tablets,noon
Honor Pad X8a 11-Inch Space Grey 4GB RAM 128GB Wi-Fi With Free Flip Cover - Middle East Version,"8,699",N/A,tablets,noon
"Canon Pixma TS3340 A4 3-in-1 Colour ink Printer, USB, WiFi Black","2,555",N/A,tablets,noon
Dahua SSD-C970 Plus NVMe M.2 PCIe Gen4x4 Solid State Drive up to 6290 MB/s 1 TB,"2,980",N/A,tablets,noon
"DELL Vostro 3520 Laptop With 15.6 Inch Full HD Display, Core i5-1235U Processor/8GB Ram/512GB SSD/Ubuntu/ Intel UHD Graphics English Black","19,999",21% Off,tablets,noon
Kingston Kingston 128GB Portable USB 3.2 Gen 1 FlashDrive DataTraveler Exodia Onyx 128 GB,360,N/A,tablets,noon
Samsung 25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug) Black,95,N/A,tablets,noon
Kingston 64GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP 64 GB,222,N/A,tablets,noon
Kingston DataTraveler Exodia USB 3.2 Flash – DTX/128GB - 128 GB,360,49% Off,tablets,noon
JOYROOM Joyroom Type C (Male) to USB (Female) Adapter S-H151 Black,70,N/A,tablets,noon
"Apple MacBook Air MGN63 With 13-Inch Display, M1 Chip With 8-Core Processor And 7-Core Graphics/8GB RAM DDR4/256GB SSD/English Arabic Keyboard English/Arabic Space Grey","35,706",31% Off,tablets,noon
TP-LINK Archer VR300 AC1200 Wireless VDSL/ADSL Modem Router Black,"1,735",15% Off,tablets,noon
"TP-LINK TL-WN725N N150 USB Wireless WiFi Network Nano Size Adapter for PC/Laptop, WiFi Dongle, Compatible with Windows 10/8.1/8/7/XP, Mac OS X, Linux Black/Gold",252,72% Off,tablets,noon
