title,price,offer,category,site
Sony PlayStation 5 Console (Disc Version) With Controller,"30,439",25%,video-games,noon
cardoo CardoO VR Box Pro – Wired VR Headset with Lightning Cable | Immersive VR Glasses with 360° Panoramic View | Built-in Wired Headphones,"1,499",25%,video-games,noon
"REDRAGON FIZZ K617 60% Mechanical Keyboard, Red Key Switches, Hot-Swappable, Detachable Type-C Cable, Pro Software Customizable RGB, Full Rollover 61-Keys, White/Gray | K617-RGB","1,485",25%,video-games,noon
Sony PlayStation 5 Slim Console (International Version) Digital Edition With Controller,"26,756",16%,video-games,noon
cardoo cardoO VR Box Pro – Wired VR Headset with Type-C Cable | Immersive VR Glasses with 360° Panoramic View | Built-in Wired Headphones,"1,499",25%,video-games,noon
"cardoo cardoO VR Box Max – 5.3 Bluetooth VR Headset, Premium VR Glasses for Android and iOS Mobile Phones (4.8 to 7.0) | 360° Panoramic View | iMax Cinema | Built-in Headphones","1,999",33%,video-games,noon
Microsoft Wired Gaming Controller For Xbox 360,375,46%,video-games,noon
"Hunterspider V4 Gaming Headset for Xbox One, PS4, PC, Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light Bass Surround Soft Memory Earmuffs for PS2 Mac",499,37%,video-games,noon
"JITOPKEY Mouse Pad with Stitched Edge, Size 260X210X2MM Premium and Portable Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC",50,74%,video-games,noon
"cardoo CardoO VR Box Go – Lightweight VR Headset, VR glasses for Android and iOS Mobile Phones (4.8 to 7.0) | 360° Panoramic View | Multi-Function Button",999,33%,video-games,noon
"Aukey Gaming Mouse Pad Large XL (900 X 400 X 3 MM) Thick Extended Mouse Mat Non-Slip Spill-Resistant Desk Pad with Special-Textured Surface, Anti-Fray Stitched Edges for Keyboard, PC",240,N/A,video-games,noon
onikuma K20 Gaming Wired Headset With Microphone For PC,484,N/A,video-games,noon
Sony PlayStation 5 Slim Console (International Version) Disc Version With Controller - New Model 2023,"29,741",39%,video-games,noon
EA FC 25 - Sports - PlayStation 4 (PS4),"3,146",N/A,video-games,noon
EA EA Sports FC 25 (International Version) - Sports - PlayStation 5 (PS5),"2,698",15%,video-games,noon
Meta Quest 3S 128GB White,"22,999",N/A,video-games,noon
"cardoo cardoO VR Box Max – 5.3 Bluetooth VR Headset, Premium VR Glasses for Android and iOS Mobile Phones (4.8 to 7.0) | 360° Panoramic View | iMax Cinema | Built-in Headphones","1,999",33%,video-games,noon
"Maono PD200XS XLR/USB Dynamic Microphone Kit, RGB Podcast Mic with Software, Mute, Gain Knob, Volume Control, Boom Arm for Streaming, Gaming, Voice-Over, Recording","2,799",20%,video-games,noon
"EKSA E900 Gaming Headset for PC,PS4,Xbox One S/X, Nintendo Switch  - Computer Headset with Detachable Noise Cancelling Mic, 7.1 Surround Sound, 50MM Driver - Headphones with Microphone",440,N/A,video-games,noon
REDRAGON M711 RGB Wired Gaming Mouse Black,875,N/A,video-games,noon
INSOMNIAC GAMES Marvel’s Spider-Man 2 UAE Standard Edition - PlayStation 5 (PS5),"2,988",5%,video-games,noon
"MARVO CM-390 PRO 6-in-1 STARTER KIT ( Keyboard, Mouse, Headset, Mouse Pad & Speakers)",789,N/A,video-games,noon
"ZINGYOU ZY-UA2 USB Condenser Cardioid Microphone Kit , 96KHz/24Bit Plug & Play for PC Recording, Gaming, Live Streaming, Voice Over, YouTube, Twitch,with Upgraded Boom Arm,",999,33%,video-games,noon
T-DAGGER T-DAGGER TGK313 Bora Gaming Mechanical Keyboard - Rainbow LED Lighting - Hot Swappable Switches Blue Switch,850,N/A,video-games,noon
"Beexcellent GM5 Gaming Headset, 7.1 Surround Sound PS4 Headset with Microphone, For Games, PC Headphones, Heavy Bass, Telescopic, Noise Isolation, Wired, FPS Compatible, LED Light",449,43%,video-games,noon
Nintendo Switch OLED (2021) Model - Joy Controller,"16,191",N/A,video-games,noon
"REDRAGON M691 MIST Wireless Gaming Mouse - 4,800 DPI Optical Sensor - Ergonomic Design with Thumb Rest - 3 Side Buttons - Rapid Fire Button",657,N/A,video-games,noon
"EKSA E900 Gaming Headset for PC,PS4,Xbox One S/X, Nintendo Switch  - Computer Headset with Detachable Noise Cancelling Mic, 7.1 Surround Sound, 50MM Driver - Headphones with Microphone",475,52%,video-games,noon
lecoo HT403 RGB Gaming Headset - 50mm Audio Driver - Adjustable Headband - Realistic Sound Quality - Easy Control inline volume control,399,33%,video-games,noon
